# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[section] 講演
[col 02] 沈强ᄒᆞᆫ絕對我가大刀活斧를持ᄒᆞ고世運의
[col 03] 進流에立ᄒᆞ야時禍의亂絲를快斷ᄒᆞ고狂瀾
[col 04] 을旣倒에回코자ᄒᆞ야白白ᄒᆞ心과赤赤ᄒᆞ血
[col 05] 로世界를一洗ᄒᆞ나니此ᄂᆞᆫ卽自古宗敎的大
[col 06] 身의先茅라善의當敢도能知ᄒᆞ며惡의當改
[col 07] 도能知ᄒᆞ며惡習慣의當變도能知ᄒᆞ며新宗
[col 08] 敎就新도能知로되逡巡不忍改ᄒᆞ며奄息不
[col 09] 能損ᄒᆞ나니人生의至劣이無勇에서過ᄒᆞ者ㅣ
[col 10] 何有리오動機의始ᄂᆞᆫ智仁이며動機의終은
[col 11] 結果니日新又新의大勇氣로驀直히新生涯
[col 12] 에入ᄒᆞ야宇宙도能呑ᄒᆞ며鬼神도能使ᄒᆞ며
[col 13] 世界도能運ᄒᆞᆯ大氣槪가無ᄒᆞ면天於地의人
[col 14] 格을難成ᄒᆞ지니大雄無畏의先導에不可無
[col 15] 者勇力이로다
[col 16] 大雄無畏의範圍ᄂᆞᆫ智仁勇이오智仁勇의結
