# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 講演
[col 02] 雪線以上의峯에登ᄒᆞ야放觀ᄒᆞ면地平線盡
[col 03] 處ᄂᆞᆫ天穹이오俯瞰ᄒᆞ면森森落處ᄂᆞᆫ塵海로
[col 04] 다千時也엔心이觀象得氣의臺에登ᄒᆞ야萬
[col 05] 國都城如坏蟻ᄒᆞ고千家豪傑似醯鷄的超象的
[col 06] 氣槪가能히肉身으로秋毫兒血勇을不作케
[col 07] ᄒᆞ며沒情打塵의靑山綠水裡에坐ᄒᆞ야淙々
[col 08] ᄒᆞᄂᆞᆫ耳邊은碧流澗一聲이오翻翻ᄒᆞᄂᆞᆫ眼底
[col 09] ᄂᆞᆫ風來葉의數片이라干時也엔心이觀靜得
[col 10] 妙의境에入ᄒᆞ야脫塵殼乘長風破萬里的의
[col 11] 妙想이能히肉身으로一絲一粒의關念도絶
[col 12] ᄒᆞᄂᆞ니此눈物象이心을造ᄒᆞᄂᆞᆫ바이아니오
[col 13] 本來的密藏界에雄的無量觀이茫蒼無有의
[col 14] 間에自開ᄒᆞ야塵上連累의慾想을蟬脫ᄒᆞ고
[col 15] 超象的逍遙法을無爲中自得ᄒᆞᄂᆞᆫ바라其志
[col 16] 가如是故로萬乘도弊履며其心기如是故로
