# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[title] 天道敎會月報
[col 02] 解剖되나니此主觀的世界는畢竟컨대年齡에比例ᄒᆞ
[col 03] 야益々苦痛恐懼의度를加刊될것이잇다幼少는比較
[col 04] 的公平한客觀的思想을가젓는故로萬物의自然愉快한
[col 05] 現象을直覺하나此에反ᄒᆞ야老壯은主觀的我欲의念이熾
[col 06] 盛ᄒᆞᆫ故로일즉히愉快ᄒᆞ든此天然의樂園도一轉ᄒᆞ야문득
[col 07] 若指恐懼의陋巷에入케되는것이다我欲的主觀世界는
[col 08] 恰然劇場舞臺의裝飾과如ᄒᆞ야幼少時代에在ᄒᆞ야열
[col 09] 니本을想見ᄒᆞ여燦爛히目을奪ᄒᆞ나老壯이되야이近見ᄒᆞ
[col 10] 면襤褸零吐물에지아니치못하게되는것이잇다幼少時
[col 11] 代는初春의草木이同一한色彩를帶홈과如ᄒᆞ야互相調和
[col 12] 하며互相善化하나니是樂園生活의一要素이잇으나然
[col 13] 이나成年에達ᄒᆞ면共히草는草木은木千等萬態이互相
[col 14] 分歧ᄒᆞ야各其間隔을生하며離反을生ᄒᆞ야竟壞紫泥의
[col 15] 逕庭이玆에生케되는것이다
[col 16] 「青年時代와幸福」次에人生前半中의後期即
[col 17] 青年時代는後半志壯에比하면元來愉快한것도勿論이
[col 18] 나그리나幼少時代에比하면자못不幸을感하게되나
[col 19] 니何故오幸福을獲得코저ᄒᆞ야田臘을誠하눈始初잇으
[col 20] 로서외다딕키靑年들의望하는바는幸福이니幸福의生活
[col 21] 의實現을求함은靑年界의一般觀念이라이에虛幻夢想
