# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[title] 白頭山人
[col 02] 書無工課之篇、意墜靑雲之志家産漸衰、未知未稍之如
[col 03] 何、年光漸益、自嘆身勢之將拙、料難八字、又有寒飢之
[col 04] 慮、念來四十、豈無不成之嘆、巢穴未定、雖云天地之廣
[col 05] 大、所業交違、自憐一身之難藏、自是由來、擺脫世間之
[col 06] 紛撓、責去智海之弼結、龍潭古舍、家嚴之丈席、東都新
[col 07] 府、惟我之古郷、率妻子遷棲之日、己未之十月、乘其運
[col 08] 道受之節、庚申之四月是亦夢寐之事、難狀之言、察其
[col 09] 易卦大定之數、審論三代、敬天之理、於是乎惟知先儒
[col 10] 之從命、自嘆後學之忘却、修而鍊之、莫非自然覺來天
[col 11] 子之道則一理之所定也、論其惟我之道則大同而小異
[col 12] 也、去其疑訝則事理之常然、察其古今則人事之所爲、
[col 13] 不意布德之心、極念致誠之端、然而彌留、更逢辛酉時
[col 14] 維六月、序屬三夏、良明滿座、先定其法、賢士問我、又
[col 15] 其字、開門納客、其數其然、弓乙其形、口誦長生之呪、三七
[col 16] 其字、開門納客、其數其然、肆筵設法、其味其如冠子進
[col 17] 退恍若有三千之班、童子拜拱翛然有六七之詠、年高於
[col 18] 後之
[col 19] 田、
[col 20] 承、
[col 21] 至承
[col 22] 來承
[col 23] 山之
[col 24] 之漁
[col 25] 一溪
[col 26] 、一漁
