# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[title] 雜俎
[col 02] 其技一盆々히巧妙ᄒᆞ야道에相去됨에盆々히
[col 03] 遠ᄒᆞ지라是는學問과奴隸ᄒᆞ며作業의
[col 04] 奴隸뿐이니自己에게何益이有ᄒᆞ며社會
[col 05] 에何巧가有ᄒᆞ리오
[col 06] 人生에何巧가有ᄒᆞ리오
[col 07] 又虎毛의大猫一匹이躍出ᄒᆞ야曰我는思컨대武는氣槪
[col 08] 를貴히ᄒᆞᄂᆞ니故로我一氣로鍛鍊ᄒᆞᆫ事ㅣ多年에今은浩
[col 09] 然의氣ㅣ豁然至强ᄒᆞ야天地에充然ᄒᆞ과如ᄒᆞ지라故
[col 10] 로我一能히敵을脚下에踏하야對手를麾下에屈케ᄒᆞ야先
[col 11] 勝後進ᄒᆞ며隨處着眼ᄒᆞ야조곰도用心ᄒᆞᆯ바無ᄒᆞ되
[col 12] 所作이其道에合ᄒᆞᄂᆞ니故로雖一桁에攀ᄒᆞ며探에走
[col 13] ᄒᆞ고鼠를捕ᄒᆞ야一瞬에此를取ᄒᆞ거늘嗚呼彼强鼠ㅣ往
[col 14] 來에無形ᄒᆞ니家畜에無形ᄒᆞ니問컨대先生이此를如何히
[col 15] 制服ᄒᆞ리오古猫曰君의修煉ᄒᆞᆫ바는但히氣勢뿐이니라但
[col 16] 히氣勢에依ᄒᆞ야敵을능히制ᄒᆞᆯ者ㅣ一도업ᄂᆞ니라
[col 17] 我ᄂᆞᆫ乘ᄒᆞ야敵을破코저ᄒᆞ면敵도亦氣에乘ᄒᆞ야
[col 18] 코저ᄒᆞ리라若破코저ᄒᆞ야도破치不能ᄒᆞᆯ者ㅣ有
[col 19] ᄒᆞ면何ᄒᆞ리오君所謂浩然의氣는容貌至剛ᄒᆞ야
[col 20] 天地에充塞ᄒᆞ과如
[col 21] ᄒᆞ다云ᄒᆞᆯ者는皆氣象의象이니孟子의이른바浩然의氣
[col 22] 와는似ᄒᆞᆯ듯ᄒᆞ되實은異ᄒᆞ니라彼는明ᄒᆞ야敵ᄒᆞ야剛健ᄒᆞᆫ者를말
