# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section] 敎理
[col 02] 心으로직히내면、道成德立되러니와、翻復之心두게
[col 03] 되면、이는亦是逆理者오、物慾之心두게되면、이는
[col 04] 是罔<sup>[?]</sup>者오、虛言으로誘引ᄒᆞ면이는亦是欺世者오、
[col 05] 라뒤라서分揀ᄒᆞ며、것으로꿈어닉면、이는亦是欺天者
[col 06] 니、奇異코두러으며、許多흔世上疾病自劫되엿스
[col 07] 스니、改過遷善안일넌가、誠敬二字직히ᄒᆞ스니、道德君
[col 08] 子이이아니냐
[col 09] 是時에ᄂᆞᆫ慶翔이常히大神師를侍ᄒᆞ더니一日은大神師ㅣ
[col 10] 長歎許久에頗히愁色을帶ᄒᆞ엿다가因히色을怡ᄒᆞ며曰可
[col 11] 허成功者去라謂ᄒᆞ리라ᄒᆞ고慶翔에게謂ᄒᆞ야曰汝ㅣ自此
[col 12] 로道中一切事務ᄅᆞᆯ管攝ᄒᆞ야我의訓을勿違ᄒᆞ라慶翔이曰
[col 13] 엇지此訓이有ᄒᆞ신가敢히匪分의任을荷치못ᄒᆞ리로소
[col 14] 이다大神師ㅣ笑曰事ㅣ天命에서出ᄒᆞ엿ᄂᆞ니煩치勿ᄒᆞ며
[col 15] 疑치勿ᄒᆞ라
[col 16] 八月十三日에大神師ㅣ崔慶翔에게絕句를與ᄒᆞ시니曰
[col 17] 河淸鳳鳴誰能知、運自何方吾不知、不生受命千年運、聖
[col 18] 德家承百世業、龍潭水流四海源、龜岳卷回一世花
[col 19] 大神師ㅣ因ᄒᆞ야默念良久ᄒᆞ다가、左右人을屛ᄒᆞ고獨히
[col 20] 慶翔을呼ᄒᆞ야曰汝ㅣ欽睡不坐ᄒᆞ라、慶翔이其言에從ᄒᆞ
[col 21] 야坐ᄒᆞ니、大神師ㅣ曰君의手足을任意로屈伸ᄒᆞ라言畢
