# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p3.txt

[section_running] 敎門訂議 四
[col 02] 考ᄒᆞ면此意味가盆々明確ᄒᆞᆷ을可證ᄒᆞᆯ지로다
[col 03] 經典의中에ㅣ上帝도有ᄒᆞ며大神師도有ᄒᆞᆷ은이ᄂᆞᆫ大神
[col 04] 師와上帝가全히別個躰로有ᄒᆞ기이안이라大神師自躰
[col 05] ㅣ시져로上帝도되며人도되야互相問答ᄒᆞᆫ바에不過ᄒᆞ도
[col 06] 다卽ㅣ上帝로된大神師의精神的側面이人으로된大
[col 07] 神師의肉身的側面을敎訓ᄒᆞ신바니是點에셔더욱無窮々
[col 08] 々의眞意味를感激ᄒᆞ되마지안이ᄒᆞ노라
[col 09] 此意味를一層ㅣ闡明키爲ᄒᆞ야試ᄒᆞ야大全及遺詞中에載
[col 10] ᄒᆞᆫㅣ何룰此에敷演코져ᄒᆞ노라布德文中一節에
[col 11] 不意四月에心寒身戰疾不得執症言不得難狀之際ㅣ有何
[col 12] 仙語忽入耳中驚起探問則曰勿懼勿恐世人謂我上帝汝
[col 13] 不知耶
[col 14] 云此一節로써觀ᄒᆞ면確實히神된上帝와人된大神師가全
[col 15] 然別個躰로在ᄒᆞ야互相問答授受ᄒᆞᆫ感이有ᄒᆞ도다卽仙語
[col 16] ㅣ有ᄒᆞ야耳中에入ᄒᆞᆫ다ᄒᆞ엿스니恍然히人格的上帝
[col 17] ㅣ空中으로神言을宣布ᄒᆞᆫ바明白ᄒᆞ도다萬一此一節
[col 18] 쁨으로만矛盾된言葉이라ᄒᆞ리라然이나吾人으로一驚을喫
[col 19] 치안이치못ᄒᆞᆯㅣ事ᄂᆞᆫ卽論學文中의一節이니曰
[col 20] 「擧此ㅣ々々不已故吾亦悚然只有恨生晩之際身多戰寒
[col 21] 外有接靈之氣內有降話之敎視之不見聽之不聞心尙怪
[col 22] 訝修心正氣而問曰何爲若然也人何知
[col 23] 之知天地而無知鬼神鬼神者吾也」
[col 24] 是가何等偉大의辭이냐此一節로써觀ᄒᆞ면前者ㅣ
[col 25] 卽大神師ᄂᆞᆫ卽大神師ㅣ自己임을可知ᄒᆞ지라曰內有降話
[col 26] 之敎라ᄒᆞ니이ᄂᆞᆫ곳上帝가外에不在ᄒᆞ고內에在ᄒᆞᆷ을證明
[col 27] ᄒᆞᆯ기이오曰吾心卽汝心이라ᄒᆞ니이ᄂᆞᆫ곳上帝卽大神師임
[col 28] 을可知ᄒᆞᆯ者ㅣ안인가神人의神話ㅣ玆에至ᄒᆞ야至矣盡
[col 29] 矣오深而遠ᄒᆞᆷ을可知ᄒᆞᆯ지로다
[col 30] 吾人은今日ㅣ此大祈禱式場에叅ᄒᆞ야如何ᄒᆞᆫ感想
[col 31] 을代表ᄒᆞᆯ大神師ᄂᆞᆫ旣히吾人의世界로붓터幽明이懸殊키됨
[col 32] 엿스나神人의精神을代表ᄒᆞᆫ大神師ᄂᆞᆫ冥々의中에吾人
[col 33] 서去ᄒᆞᆫ神人의偉大ᄒᆞᆫ誕降을視ᄒᆞᆯ가
[col 34] 思컨딕神人의去後ㅣ於玆五十有餘年에神人의肉身을
[col 35] 代表ᄒᆞᆯ大神師ᄂᆞᆫ旣히吾人의世界로붓터幽明이懸殊키됨
[col 36] 의精神과融合ᄒᆞ야無言不文의人乃天的神話를今에도
[col 37] ㅣ有ᄒᆞ야耳中에入ᄒᆞᆫ다ᄒᆞ엿스니今에도히려降話의敎을
[col 38] 히려敎化ᄒᆞ리라
[col 39] 海月神師ㅣ일즉向我設位法을說ᄒᆞ시고大神師의靈魂
[col 40] 不滅說을信徒의게敎ᄒᆞ니先師의精靈이只今何處에在ᄒᆞᆫ가
[col 41] 汝等의게問ᄒᆞ노니
[col 42] 示ᄒᆞ야주리라
