# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_4_p4.txt

[section_running] 天道敎會月報
[col 02] 가우리의改革思想이될것이오又그를吸收치안이하야서는안될것이엇다이제人乃天主義에包容된바의主
[col 03] 가新文化의思想과關聯된者를大略記하야보면
[col 04] 第一은自主自立의精神이니이自主自立의精神이人乃天의中心이되야잇合이라元來우리朝鮮人이自立의精
[col 05] 神이薄弱한것은누구나다ㅣ同感하는일이지만은그를改革코저하라면決코渠々한學說及敎育의力으로猝變키不
[col 06] 能한것이오偉大한信仰心에依據치안이하면不能한것이니이点에서人乃天主義는特히우리朝鮮人의自立의精神
[col 07] 을養하에絶對한能力을가젓다하리라人乃天主義가何故로自主의精神이有하는냐함은人乃天主義는人의根本精神
[col 08] 即個性에能士義의으로써吾人의個性과宇宙의本性에서一致이엇음으로써人의如何한神秘의興
[col 09] 依賴性을가지지안이하엿다함으로써라自己의事를人自己로써處辦하고自己의力을人自己로써發展케하야興
[col 10] 以盛衰ㅣ모든것의由來를自己의개絕對價値를두게한것이라그럼으로人乃天主義는奴되는位置를離하야主되는
[col 11] 位置에立脚케하는主義이니人의奴隷物의奴隷神의奴隷等모든奴隷的根性을解脫하고自我로特히宇宙의主人
[col 12] 第二는平等의觀念이니人乃天主義는元來ㅣ人으로同一한天이라看做하는것이라임이萬人이다갓치天이어
[col 13] 니遺間에何等一点의階級思想과差別觀念을둘배잇스리오人乃天人格의上에서決코等別이안이니萬人을同
[col 14] 의上에서決코差別이잇을배안이며玉堂의貴와鄕谷의賤이그人格의上에서決코別이잇것이안이니萬人을同
[col 15] 一한天으로看做하야同一한權利同一한功果를得코저理想함이잇곳人乃天의大目的이라이絕
[col 16] 對平等의大目的下에하면무엇이遺間에不徹底할바잇스리오
[col 17] 第三은博愛의精神이니以上에述함과갓치人乃天主義는萬人을同一한人格上觀念下에두고絕對平等의福利
[col 18] 를圖한다하면博愛! 玆에서大한者ㅣ업을지라遺間에區々히愛를設하며仁을談함이쏘한小치안이하랴
[col 19] 第四는向上의精神이니人乃天이라함을달니말하면人으로써天의理想에接觸融化코저함이니
[col 20] 함은天上의理想을地上에建設코저함이라天이公平한지라人도公平하여야할것이오天이至誠한지라人도
