# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎門訂議
[col 02] 光陰이니라盖三界ᄂᆞᆫ唯心이니三界
[col 03] 를造ᄒᆞ고三界ᄂᆞᆫ變遷을造ᄒᆞ고變遷은新舊
[col 04] 를造ᄒᆞ고新舊ᄂᆞᆫ百千億無量數를生ᄒᆞᄂᆞ니
[col 05] 百千億無量數ᄂᆞᆫ結局唯一心法에歸着ᄒᆞ도
[col 06] 다試ᄒᆞ야煩勞를絶ᄒᆞ고暫히心을無窮無極
[col 07] 의太初에送케ᄒᆞ면無物의極은無我에至ᄒᆞ
[col 08] 고無我의極은鴻蒙에至ᄒᆞ고鴻蒙의極은無
[col 09] 極에至ᄒᆞᄂᆞ니無極은我心의所造인ᄃᆡ我心
[col 10] 은此無窮無極의進化妙法에依ᄒᆞ야幾百千
[col 11] 億의光陰을經過ᄒᆞ야以心傳心으로進化에
[col 12] 進化를加ᄒᆞ者ㅣ是即吾人今日의心法이니
[col 13] 故로進化ᄂᆞᆫ萬有史論이며同時에無極史論
[col 14] 이니라「歲々年々人不同」不同은亦是心의
[col 15] 進化로生滅은進化의波이며新舊ᄂᆞᆫ進化의
[col 16] 交替라不同이라ᄒᆞ야人世를悲觀ᄒᆞ며生滅
[col 17] 이라ᄒᆞ야眞理를誤解ᄒᆞᆷ은是進化의罪人、
