# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[section_running] 敎門訂議
[col 02] 或은艶冶窈窕ᄒᆞᆫ魔女를下ᄒᆞ야徐々히
[col 03] 波를送ᄒᆞ야意를籠ᄒᆞ며媚을呈ᄒᆞ야此를誘
[col 04] 코저ᄒᆞ며或은魍魎魔形이諸般의恐
[col 05] ᄒᆞ야此를盡ᄒᆞᆫ武器를携ᄒᆞ고菩提樹下에蝟集
[col 06] 업시各々奔逃ᄒᆞ야威赫코저ᄒᆞ엿스나終에效力이
[col 07] 神光이널니十方에點ᄒᆞ야大千世界를晃曜
[col 08] ᄒᆞ니空에는天華가下ᄒᆞ고地에는妙香이
[col 09] 滿ᄒᆞ엿다云ᄒᆞ엿스며兹에黑雲이晴ᄒᆞ고
[col 10] 基督은大覺의初一曠野에往ᄒᆞ야四十日
[col 11] 를默思冥想ᄒᆞ엿슴을其經傳에發表ᄒᆞ엿고
[col 12] 回敎祖馬合默은히라山上에서冥想中一
[col 13] 天使로붓터天書를得ᄒᆞ엿다ᄒᆞ엿도다
[col 14] 世界의三大宗敎의敎祖가旣然ᄒᆞ엿도다
[col 15] 其餘의宗敎에서도亦是此等現象을言치
[col 16] 아님이업섯도다印度의婆羅門敎는人生
