# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_19_p10u.txt

[section_running] 敎門訂議
[col 02] 의發現을見ᄒᆞᆯ지라說홈도
[col 03] 法을一如ᄒᆞ고宇宙로唯一大理想의發
[col 04] 現에不外ᄒᆞ다ᄒᆞ야靜觀主義를取ᄒᆞ엿스며
[col 05] 쇳편氏의이른바「汝의意思를絕滅ᄒᆞ고否
[col 06] 定ᄒᆞ여라此汝의義務이라」絕叫ᄒᆞ야欲
[col 07] 를絕ᄒᆞ고情을滅ᄒᆞ야解脫의道에入ᄒᆞᆯ만
[col 08] ᄒᆞᆷ을示ᄒᆞ야其方法으로利己的差別本
[col 09] 性을脫ᄒᆞ야慈眼視衆生의平等大悲의上
[col 10] 에立ᄒᆞ라說明홈과如홈은其說ᄒᆞᆫ바各
[col 11] 々不同ᄒᆞ야蘭菊이各其美을競ᄒᆞᄂᆞᆫ觀이
[col 12] 有ᄒᆞ나大體ᄂᆞᆫ相對差別의我에被制치아
[col 13] 니ᄒᆞ고絕對不等의本體에合ᄒᆞ라說홈은其
[col 14] 歸趣가同一ᄒᆞ도다
[col 15] 特히近世倫理家泰斗「쒸린」에至ᄒᆞ야ᄂᆞᆫ
[col 16] 宇宙에ᄂᆞᆫ自意識을具ᄒᆞᆫ大精神이有ᄒᆞ타ᄒᆞ
[col 17] 고吾人의意識은此宇宙大意識의顯出ᄒᆞᆫ
