# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1.txt

[title] 眞實된信仰生活
[author] 李敎化
[col 03] 吾人은如何히處世ᄒᆞᆯ것인가
[col 04] 何히自己의一生을措處ᄒᆞᆯ것인가是實
[col 05] 로古今의大問題니라
[col 06] 載에各時代의賢哲이畢生의腦漿을絞ᄒᆞ
[col 07] 야吾人을敎訓ᄒᆞᆫ바訓導ᄂᆞᆫ實로積功이多大ᄒᆞ
[col 08] 도다然이나吾人은其들의敎訓과其들의
[col 09] 指導를把來ᄒᆞ야直히吾人生活의材料를作
[col 10] ᄒᆞ고吾人心理의慰安을調理ᄒᆞᆯ슈잇스랴
[col 11] 吾人은恒常ᄀᆞ古今大聖의敎訓遺訓을對ᄒᆞᆯ
[col 12] 際마다這裡에實로未盡ᄒᆞᆫ膽說과未決ᄒᆞ
[col 13] ᄂᆞᆫ問이伏在ᄒᆞ엿슴을發見ᄒᆞ엿스며又其
[col 14] 들의自體로도此未盡未決에向ᄒᆞ야大宇宙
[col 15] 의大憂鬱大宇宙의大悲吐를壯ᄒᆞᆫ後거의
[col 16] 自己의所信一部를敢히筆舌에依ᄒᆞ야表顯
[col 17] ᄒᆞ고思ᄒᆞ면人生의奧底에눈如何히神
[col 18] 秘의深理가伏在ᄒᆞ엿ᄂᆞ오如何히又人
[col 19] 生의悲哀와憂鬱은少ᄒᆞ야도吾人의先天的
[col 20] 負債임을思치아니치못ᄒᆞ리로다
[col 21] 嗚呼라古今을通ᄒᆞ며東西를亘ᄒᆞ야
[col 22] 吾人의視線을暗黑히ᄒᆞ며吾人의原力을
[col 23] 打瘇케ᄒᆞᄂᆞᆫ此落膽失望의聲은屢々ㅣ吾人
[col 24] 耳朶를打擊ᄒᆞᄂᆞ니恐컨덕是一何人이든지
