# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[author] 白頭山人
[col 02] 盛ᄒᆞ다ᄒᆞᆯ지나幾千年后今日에至ᄒᆞ야ᄂᆞᆫ運이旣衰ᄒᆞ엿
[col 03] ᄂᆞᆫ지라亂法者ㅣ有ᄒᆞ고亂道者ㅣ出ᄒᆞ니엇지可惜치아
[col 04] 니ᄒᆞ가盖古來道德에十年을工夫ᄒᆞ야道成德立ᄒᆞ게되
[col 05] 면此를速成이라謂ᄒᆞ엿지만은無極ᄒᆞ신諸君들은이에道ᄂᆞᆫ三年不
[col 06] 成ᄒᆞ게되면이아니라虛言인가急ᄒᆞ諸君들은人事ᄂᆞᆫ不
[col 07] 修ᄒᆞ고天命만바라보니猝富貴不祥이라萬古遺傳아닐
[col 08] 너가在上者篤信치못ᄒᆞ면在下者ㅣ疑ㅣ生ᄒᆞ고在上者
[col 09] ㅣ恭敬치못ᄒᆞ면在下者ㅣ驕慢ᄒᆞ나니是ㅣ一切의事ㅣ
[col 10] 責在元師라이름이라雖然이나修身齊家아니ᄒᆞ고道成
[col 11] 德立엇지ᄒᆞ며三綱五倫을바리고賢人君子를엇지自期
[col 12] ᄒᆞ랴賢淑ᄒᆞᆫ諸君子이여互相警戒ᄒᆞ며五相傳授ᄒᆞ야ᄡᅥ
[col 13] 心의安ᄒᆞ고道에安ᄒᆞ라若沒覺의致로ᄡᅥ大道를誤解ᄒᆞ
[col 14] 야自行自止ᄒᆞ다가我에게羞恥를加ᄒᆞᄂᆞᆫ事ㅣ有ᄒᆞ면在
[col 15] 傍ᄒᆞᆫ諸君들도不美之事ㅣ아인가觀其動靜ᄒᆞ지말고盡
[col 16] 誠盡美曉喩ᄒᆞ야이니羞恥ᄡᅥ서주면그아니聖德인가남
[col 17] 의師長되ᄂᆞᆫ法은來者를不拒ᄒᆞ며敎論ᄀᆞ爲先ᄒᆞ고ᄉᆞ랑의
