# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[title] 雜俎
[col 02] 흐匪類의게는此等等言이恰然히惡鬼에對
[col 03] 흐玉樞經과如흐지라滿天罪貫을엇지一時
[col 04] 言辭로洗滌흐리오唯히逢彼之怒라余의故
[col 05] 友孫鳳奎와同一히彈血을流흐고萬古不歸
[col 06] 의客을作흐바余는其時元山港에滯留흐고
[col 07] 余의兩兒는黃海道谷山에避躱흐고妻及婦
[col 08] 는各其本家에歸흐니兄弟永訣흐고父子相
[col 09] 分흐며夫妻相離흐中에도오히려余等數三
[col 10] 同志는元山港傳敎室內에서冥冥히皇天上
[col 11] 帝의게吾敎의前途를祝흐빌別로히他觀念
[col 12] 은無흐엿노라不幸中不幸으로余의兩家兒
[col 13] 는谷山서亦是匪類의偵探흐바되야當地土
[col 14] 匪의被縛되야八日間空房에拘囚되니其故
[col 15] 는土匪等이匪類本隊의게獻흐고褒品을獲
[col 16] 得흐目的으로大匪隊의到來를待흐이러라
[col 17] 實人兩兒의性命은旣已當地目標人의因緣
[col 18] 으로危地를脫흐야無事히歸家흐엿스나其
[col 19] 間에余의心腸은幾萬갈네로찢어지는듯흐
[col 20] 엿고其後에匪類의行動은漸漸히緩和되야
[col 21] 治安이恢復됨에따라余는卽時로妻子를率
[col 22] 引흐고故鄕에歸흐야보니家屋은依然흐나
[col 23] 家財는蕩盡되얏고親戚故舊는星散흐야寂
[col 24] 寞江山에冷落한光景은實로目不忍見이러
[col 25] 라余는此에對흐야一毫의怨心도無흐며다
[col 26] 만天運循環의理가如是흐다自慰할ᄯᆞ름이
[col 27] 러라
