# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section_running] 敎理部
[col 02] 를不知ᄒᆞᄂᆞᆫ者ᅵ有天을何知며天을不知ᄒᆞ
[col 03] ᄂᆞᆫ者ᅵ有樂을何知리오其終日所研究者ᄂᆞᆫ
[col 04] 譯術ᄒᆞ면玉堂金馬權利客과貨海財山富家
[col 05] 兒와靑春白馬遊蕩子로精交神遊ᄒᆞ야食而
[col 06] 不知其味ᄒᆞ며臥而不成一寐라가眞精神靈
[col 07] 魂兒가半覺醒이면忽然如失ᄒᆞ야如狂如醉
[col 08] 에莫知所向ᄒᆞᄂᆞ니惟心은惟精惟一이라야
[col 09] 能成道得味어놀彼昏은沒覺ᄒᆞ야一日에有
[col 10] 幾時之變心ᄒᆞ고一月에有幾十日之變心ᄒᆞ
[col 11] 고一年에有幾個月之變心ᄒᆞ고一生에有幾十
[col 12] 年之變心ᄒᆞ야濫食이成習ᄒᆞ며暴藥이成痼
[col 13] 片丹田에千荊萬棘이叢生ᄒᆞ야退之則刺背
[col 14] ᄒᆞ며嫉妬가交起ᄒᆞ며衝突이自生ᄒᆞᄂᆞ니一
[col 15] ᄒᆞ고進之則刺賀ᄒᆞ며躍之則刺頭ᄒᆞ고墜之
[col 16] 則刺足ᄒᆞ야拂ᄒᆞ야도莫去ᄒᆞ며滌ᄒᆞ야도莫
