# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[author] 白頭山人
[col 02] 山河大運、盡歸此道、其源極深、其理甚遠、固我心桂乃
[col 03] 知道味、一念在玆、萬事如意、消除濁氣、兒養淑氣、非
[col 04] 徒心至、唯在正心、隱々聰明、仙出自然、來頭百事、同歸
[col 05] 一理、他人細過、勿論我心、我心小慧、以施於人、如斯大
[col 06] 道、勿誠小事、臨動盡料、自然有助、風雲大手、隨其器
[col 07] 局、玄機勿露、勿爲心急、功成他日、好作仙綠、必兮本
[col 08] 虛應物無迹、心修來而知德、德唯明而是道、在德不在
[col 09] 於人、在信不在於工、在近不在於遠、在誠不在於求、不
[col 10] 然而其然、似遠而非遠
[col 11] 是歲十二月에大神師―各接에巡諭ᄒᆞ더니人이急告ᄒᆞ야
[col 12] 曰先生을西學으로指目ᄒᆞ고朝廷이또ᄒᆞᆫ先生을逮捕코져
[col 13] ᄒᆞ나니先生은自愛ᄒᆞ소셔大神師―笑曰道―我로붓더出
[col 14] ᄒᆞ야스니我自當ᄒᆞ리라엇지逃避ᄒᆞ야私累를諸君에게及케
[col 15] ᄒᆞ리오又天命이昭々ᄒᆞ거늘엇지私心으로써玄機를違ᄒᆞ
[col 16] 리오十日夜에至ᄒᆞ야ᄂᆞᆫ崔慶翔外十餘人의門弟에
[col 17] 게告ᄒᆞ야曰今夜에余―特히有事ᄒᆞ니若輩ᄂᆞᆫ各히歸家ᄒᆞ
[col 18] 라ᄒᆞ더니和布ᄒᆞᆯ이오[?][?][?][?][?][?]
