# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎理部
[col 02] 悲哀의濃霧中에彷徨케되엿ᄂᆞ니思想上世紀末悲哀라
[col 03] ᄒᆞᆷ은곳此를謂ᄒᆞᆷ이라
[col 04] 然이나人類ᄂᆞᆫ決코希望을離ᄒᆞ야生ᄒᆞᆯ만ᄒᆞᆫ動物이안이며
[col 05] 自信을離ᄒᆞ야存立ᄒᆞᆯ만ᄒᆞᆫ個性이안이라世紀末의所謂懷
[col 06] 疑煩憫이며失望悲哀ᄂᆞᆫ決코永遠의眞理가안이라眞理
[col 07] 의進化過程으로將次大ᄒᆞᆫ理想丨大ᄒᆞᆫ自信에達코저ᄒᆞᄂᆞᆫ
[col 08] 經路의波瀾에不過ᄒᆞ도다故로二十世紀今日에至ᄒᆞᄂᆞᆫ
[col 09] 눈世界各地에新思想에曙光이活來ᄒᆞ야一瀉千里의勢
[col 10] 로新信仰의基盤이漸次就緖ᄒᆞᄂᆞᆫ劈頭에虛ᄒᆞᆫ靈은更히實
[col 11] ᄒᆞ엿지며死ᄒᆞᆫ神은更히活ᄒᆞ엿ᄂᆞ니學者ᄂᆞᆫ此를千古
[col 12] 一過의新曙光이라大膽ᄒᆞ엿섯다然ᄒᆞ면其所謂新信仰
[col 13] 의新曙光은何이냐所謂心靈萬能主義가是니라所謂
[col 14] 個性中心說이是니라其等은神을天堂에서求치아니ᄒᆞ
[col 15] 고歸ᄒᆞ야世界의中에求코저ᄒᆞ며極樂은彼岸의上에서
[col 16] 求치아니ᄒᆞ고自我의心靈에서求코저ᄒᆞ엿ᄂᆞ니是가今
[col 17] 日信仰界의現象이엿도다然이나此等新信仰의思想은一
[col 18] 部哲學者의間에流行ᄒᆞᆯ ᄲᅮᆫ으로統一이無ᄒᆞ며組織이無ᄒᆞ
[col 19] 며系統이無ᄒᆞ며神秘的原理가無ᄒᆞ며信仰的契機가無ᄒᆞ
[col 20] 즉이成立ᄒᆞ지못ᄒᆞ엿ᄂᆞ니弊言ᄒᆞ면其눈아즉新思潮의完
