# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[title] 朝鮮에特有한宗敎思想을論함
[col 02] 國일지라도國家制度家族社會制度外其方式잇는點
[col 03] 에서殆히儒佛와類似한것은是一地의東西를勿論하고
[col 04] 倫理가同一한外닭일지모다그리하야朝鮮의固有한信仰的
[col 05] 精神은儒佛로써能히其를支配한다斷言치못할지니是必
[col 06] 然으로儒仙에向하야內心의慰安을求치못하던朝鮮人
[col 07] 에當然又必然의結果일지모다안이朝鮮뿐不啻오東
[col 08] 洋人의遐키隱한東洋의思想이아마하야도過言이안이
[col 09] 로다
[col 10] 故로朝鮮人의宗敎的思想은是儒佛仙合體인대儒佛
[col 11] 仙은由來朝鮮思想이되야朝鮮으로써朝鮮이잇것한것
[col 12] 이로다以上에述べ함과갓치人은原來一靈肉一致인々
[col 13] 몸에其性心身에對한儒佛仙의究竟合致는是天道의當
[col 14] 然한바이며理想의究極目的이며進化의最後一步이
[col 15] 며信仰의必然正明이니만일이로써非眞理이랴할진
[col 16] 대世界에何者도虛僞一안일이업스리로다
[col 17] 이러틋儒佛仙合致로써從來한朝鮮宗敎的思想中으로
[col 18] 今日우리天道敎가發生된것도또한惟異한事一안이며
[col 19] 偶然한事一안이오天道의當然理想의究極進化의最
[col 20] 後信仰의正明으로人族이有한幾萬年에必然的思想
[col 21] 化로된것이니嗚呼天運와朝鮮朝鮮人과天道敎는實로
