# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p3.txt

[title] 默念과詩美
[author] 又
[col 03] 李仁者
[col 04] 默念은眞理直觀의方法으로
[col 05] 實로倫理的修養의好手段이니라
[col 06] 然이나默念이吾人의게興味업바
[col 07] 此는一眞善美뿐이아니
[col 08] 九別로吾人의美想을養케ᄒᆞ
[col 09] 니默念恍惚의際一詩境이湧然
[col 10] 히起ᄒᆞ옴은劈頭에旣述ᄒᆞᆫ바와如ᄒᆞ나
[col 11] 淇園詩圈이니墳頭의詩의本義로브터
[col 12] 默念의佳境을述ᄒᆞ야보랴
[col 13] 蓋一詩에體裁가잇스며格調
[col 14] 가잇고精神이잇ᄂᆞ니格調
[col 15] 와精神은其三物의總要니라
[col 16] 蓋精神을缺ᄒᆞ고格調이高古
[col 17] 함을得할지며佳句를得할지라
[col 18] 도唐의趣一大槪興趣를主ᄒᆞ엿스며
[col 19] 渺茫我는此宇宙의一員이되며蓋滄海의一滴이
[col 20] 無盡의乾坤에影響하며小我我의心裡에太古宇宙
[col 21] 의精神을寓ᄒᆞᄂᆞ니何業을成키不能하며何善을行키
[col 22] 不能ᄒᆞ리오倫理的修養의要一實로此에在ᄒᆞ도다
[col 23] 此等修德의工夫에間斷이
[col 24] 잇스니默念에體裁가잇스며
[col 25] 蓋一詩에體裁가잇스며格調
[col 26] 가잇고精神이잇ᄂᆞ니格調
[col 27] 와精神은其三物의總要니라
[col 28] 蓋精神을缺ᄒᆞ고格調이高古
[col 29] 함을得할지며佳句를得할지라
[col 30] 도唐의趣一大槪興趣를主ᄒᆞ엿스며
[col 31] 當ᄒᆞ면善念도卽惡念이며惡念도쪼차惡이될바
[col 32] 업스리니善惡二念이我의當中에在ᄒᆞ야當用則宜
[col 33] ᄒᆞ이恰然히大匠이材에從ᄒᆞ야其器量을制ᄒᆞᆷ과갓치家
[col 34] 量齊治의調治를ᄒᆞ며天下를平ᄒᆞ는事一掌上에運
[col 35] 호지라此時에當ᄒᆞ면心中은實로無惡無善ᄒᆞ며同
[col 36] 時에亦能用善用惡ᄒᆞᄂᆞ니
[col 37] 此善도無用이며惡도無用
[col 38] 如此가純善으로故로易에此
[col 39] 며大學에明明德이라ᄒᆞ엿고
[col 40] 孟子에性善이라云ᄒᆞ엿고
[col 41] 莊子에在陋室生白이라ᄒᆞ엿고
[col 42] 스며儒家에眞如真相
[col 43] 涅槃佛性이라ᄒᆞ엿ᄂᆞ니라
[col 44] 蓋此量倫理的學說에照ᄒᆞ야보
[col 45] 아도沈思冥想의品性陶冶
[col 46] 니라若者一언섯도다靜思徐
[col 47] 判ᄒᆞ면天下에잇지我를惑케
[col 48] 有ᄒᆞ며天下에잇지我를惑케
[col 49] 有ᄒᆞ며天下에잇지我를惑케
[col 50] 有ᄒᆞ며天下에잇지我를惑케
[col 51] 有ᄒᆞ며天下에잇지我를惑케
[col 52] 有ᄒᆞ며天下에잇지我를惑케
[col 53] 有ᄒᆞ며天下에잇지我를惑케
[col 54] 有ᄒᆞ며天下에잇지我를惑케
[col 55] 有ᄒᆞ며天下에잇지我를惑케
[col 56] 有ᄒᆞ며天下에잇지我를惑케
[col 57] 有ᄒᆞ며天下에잇지我를惑케
[col 58] 有ᄒᆞ며天下에잇지我를惑케
[col 59] 有ᄒᆞ며天下에잇지我를惑케
[col 60] 有ᄒᆞ며天下에잇지我를惑케
[col 61] 有ᄒᆞ며天下에잇지我를惑케
[col 62] 有ᄒᆞ며天下에잇지我를惑케
[col 63] 有ᄒᆞ며天下에잇지我를惑케
[col 64] 有ᄒᆞ며天下에잇지我를惑케
[col 65] 有ᄒᆞ며天下에잇지我를惑케
[col 66] 有ᄒᆞ며天下에잇지我를惑케
[col 67] 有ᄒᆞ며天下에잇지我를惑케
[col 68] 有ᄒᆞ며天下에잇지我를惑케
[col 69] 有ᄒᆞ며天下에잇지我를惑케
[col 70] 有ᄒᆞ며天下에잇지我를惑케
[col 71] 有ᄒᆞ며天下에잇지我를惑케
[col 72] 有ᄒᆞ며天下에잇지我를惑케
[col 73] 有ᄒᆞ며天下에잇지我를惑케
[col 74] 有ᄒᆞ며天下에잇지我를惑케
[col 75] 有ᄒᆞ며天下에잇지我를惑케
[col 76] 有ᄒᆞ며天下에잇지我를惑케
[col 77] 有ᄒᆞ며天下에잇지我를惑케
[col 78] 有ᄒᆞ며天下에잇지我를惑케
