# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p3.txt

[title] 敎理部
[col 02] 說曰寂滅說의各種이有ᄒᆞ얏스며又其解說은實로天壤의
[col 03] 懸隔이有ᄒᆞ얏스나靜然히其內面을熟考ᄒᆞ야結局其歸着
[col 04] 點을解決ᄒᆞ면實로同一眞理를各方面으로橫寫ᄒᆞ엿을
[col 05] 뿐不過ᄒᆞ도다假令天堂說과輪回說其體裁가有異ᄒᆞ고其
[col 06] 方式이異ᄒᆞ나善에善果가有ᄒᆞ고惡에惡報가有ᄒᆞ다홈을
[col 07] 寓意로써橫寫ᄒᆞ야同一ᄒᆞ고又其幽靈說과寂滅說이其
[col 08] 目的이相反ᄒᆞ고其說이相背ᄒᆞ얏스나一은肉의滅亡을
[col 09] 意味ᄒᆞ고他는靈의持續을想像ᄒᆞ야同一ᄒᆞ도다如何든지
[col 10] 先哲의所敎와死生觀을吾人이直接文意로解釋ᄒᆞ온大誤
[col 11] 解오但其高尙ᄒᆞᆫ意嚮은吾人이太古
[col 12] 力ᄒᆞ야외솝으로想像ᄒᆞᆫ者이로다
[col 13] 然ᄒᆞ면先哲은何故로直接眞理
[col 14] 고漠然ᄒᆞᆫ寓言으로써此를模寫
[col 15] ᄒᆞ얏슬가其는當時
[col 16] 代의程度量適應ᄒᆞ야외솝분이
[col 17] 教學說을敎示ᄒᆞ지못ᄒᆞ도其는
[col 18] 긔無異ᄒᆞ지못다
[col 19] 嗚呼라今은太陽이正午에爲臨이요迷影이라今日의人心은
[col 20] 是等漠然ᄒᆞᆫ寓言에滿足치아니ᄒᆞ고更히一層其眞風光을
[col 21] 接近코저要求ᄒᆞᆫ지是則本問題의主眼은實로古今
[col 22] 을橫斷ᄒᆞ고是非를劈破ᄒᆞ야最後高見이라言치아니치못ᄒᆞᆯ
[col 23] 지어니와本問題의眞精神에入코저ᄒᆞᆫ즉先히야인저二三
[col 24] 哲理를論코저ᄒᆞ노라
[col 25] 一、社會的精神益社會는人類의
[col 26] 人類는到底社會를離ᄒᆞ야一日도
[col 27] 論일진뎌그럼으로社會와個人은
[col 28] 人類의總數를畢ᄒᆞ야論홈이니
[col 29] 生存키不能ᄒᆞᆫ者인즉勿
[col 30] 도니와即社會는個性의發達을待ᄒᆞ야益々向上ᄒᆞ고個性
[col 31] 은社會의發展에依ᄒᆞ야亦進化를開始ᄒᆞᆫ바라於是에社
[col 32] 會總體의內面的關係를詳察ᄒᆞᆯ時는一個立的精神이有ᄒᆞ
[col 33] 야此가其時代一切活動을支配ᄒᆞ고바라볼진뎌吾人의身
[col 34] 體는無量數의細胞로組織되엿스며又其精神은此無量細
[col 35] 胞의精神이總合活動ᄒᆞᆫ것갓치社會는無量數의個性으로
[col 36] 組織을著ᄒᆞ얏고社會의精神은無量數個性의精神이融
[col 37] 化精煉ᄒᆞ야活動ᄒᆞᆫ바라所謂個性의精神의融化라홈은
[col 38] 但現在人等이오즉遠過한過去에섯지包含ᄒᆞ니過去幾
[col 39] 百幾千年의個性的精神이今日에依依然히此社會의精神
[col 40] 中에遊弋ᄒᆞᆫ바라實로此社會의精神이今日의發展과今日
[col 41] 의社會를此社會가此社會되게ᄒᆞᆫ바라然이나此社
[col 42] 會精神은各無規則融化結合者ㅣ아니오各自一定의順路가
[col 43] 有ᄒᆞᆫ者ㅣ니此를則精神의進化라홈이오此進化의一定順路가
