# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_4_p4.txt

[section_running] 敎理部
[col 02] 其他諸般意想以外의非常現象을一一히枚
[col 03] 舉키不遑ᄒᆞ나總論ᄒᆞ면靈通의各種이라今
[col 04] 吾敎의靈通力은實로空前絶後의大時機라
[col 05] 大神師씌셔靈源을發見ᄒᆞ以後海月神師에
[col 06] 及ᄒᆞ며又將來의靈通者의陸續出來ᄒᆞᆷ을世
[col 07] 界가注目ᄒᆞ는中이어니와如何던지靈通이
[col 08] 란者는古今을亘ᄒᆞ야常有ᄒᆞᆫ바는事實로認
[col 09] 定치아니치못ᄒᆞᆯ지며又靈通力이旣히人類
[col 10] 間恒有ᄒᆞᆫ事實인則此를事實로써解明기亦
[col 11] 不難ᄒᆞ니라
[title] 解說
[col 13] 人性의本來와及作用　精神의非常現象을
[col 14] 見ᄒᆞ고一般老人乃至學者ᄭᅳ지此를不可思
[col 15] 議로思ᄒᆞᄂᆞ니要컨티此ᄂᆞᆫ現在의心理學이
[col 16] 此를說明키不能ᄒᆞᆫ故라由來精神現象을硏
[col 17] 究ᄒᆞᆷ에吾人이平生云ᄒᆞᄂᆞᆫ處卽(心)或은
[col 18] 其他諸般意想以外의非常現象을一一히枚
[col 19] 나從來의心理學에셔ᄂᆞᆫ心或精神의唯抽象
[col 20] 的으로實驗又經驗以外現象에ᄂᆞᆫ一毫도理
[col 21] 喙을出入치안이ᄒᆞ故ᄒᆞ야實驗以外의
[col 22] 精神現象은心理로認定치안이ᄒᆞ엿ᄂᆞ니是
[col 23] ᄂᆞᆫ其弊가靈通即精神非常現象에對ᄒᆞ야
[col 24] 何等의說明을不與ᄒᆞᆷ이能ᄒᆞ며靈通의當然
[col 25] 理致로다吾人은此從來心理學을疑心ᄒᆞᄂᆞᆫ
[col 26] 것이안이오即心理學範圍를擴張ᄒᆞ야以上述ᄒᆞᆫ
[col 27] 力의如何ᄒᆞᆫ지此에講究코자ᄒᆞᆷ이라
[col 28] ᄒᆞᆷ과如히精神非常現象은東西古今에屢現
[col 29] ᄒᆞᄂᆞᆫ例어니와一般人人은此를唯珍奇ᄒᆞᆫ事
[col 30] 던지不可思議로쎤思ᄒᆞ야徒히不審의眼을
[col 31] 瞪ᄒᆞ야有ᄒᆞᆯ쎤世人의不審이一面으로브터
[col 32] 見ᄒᆞ면無理ᄒᆞ도다만은他一面으로ᄂᆞᆫ亦是
[col 33] 其然의理가不無ᄒᆞ니何者오是ᄂᆞᆫ由來의學
