# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_11_p6u.txt

[title] 天道敎會月報
[col 02] 感情을가지고잇나니卽意識을가지고잇는것이라感情
[col 03] 이잇스면亦是意識이잇게되는것이라蓋物質의拒力引
[col 04] 力이라하는者는이곳本能的感情이니拒力引力은卽우
[col 05] 리사람의憎愛의心과相當한것이엇다人에는반듯이憎
[col 06] 愛의觀念이잇나니愛함은곳引力이며憎함은곳拒力이
[col 07] 니恰然히物質의拒力吸力을發表함과如한것이엇다그
[col 08] 런대感情이라하는者는何에서出하엿슬가하면그는卽
[col 09] 사람의肉軆를組織한細胞로부터出來한것이다卽細胞
[col 10] 를組織한原子에感子이잇섯슴으로써原子의感情이合
[col 11] 하야細胞의感情이되고細胞의感情이合하야사람의
[col 12] 感情이된것이라사람은元來一個의細胞團엥으로써
[col 13] 全軆를總括한細胞의感情은結局사람의感情으로表
[col 14] 顯케되는것이엇다그럼으로사람이一喜一憂하며他一喜一憎
[col 15] 함도畢竟은細胞의感情의衝動作用이라볼수밧게업
[col 16] 다云하엿슴은最近學者의公認하는바이엇다
[col 17] 然한대意識이라云하는者는極히稀薄한狀態에서는
[col 18] 無機物에도存在하나니大抵無機物과有機物을嚴密히
[col 19] 思考하야보는것은언듯듯俗見이라할수밧게업다勿論
[col 20] 一面의區別은科學上으로界劃한바업지아니라만할지라
