# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_15_p8u.txt

[section_running] 天道敎會月報
[col 02] 我는임이痕跡도남기지안이하고消滅하엿거든합을
[col 03] 며二十年三十年五十年前의我이리오然이나我ㅣ我된所以의者는七年前의我든지今日의我든지同一
[col 04] 치안이한가即我의肉體는如斯히無常할지라도我의
[col 05] 靈我의魂은人生의年齡ㅣ五十年을通하야我의死後일지
[col 06] 通할지라도依然히永存하니라그리하야我의死後일지
[col 07] 라도我의靈魂은오히려我의肉體의變化를隨하야不滅
[col 08] 하든時와갓치坴한永久保存을得케됨은即靈魂不滅
[col 09] 이니라七年十年前에我는其意味에서其感覺에서現
[col 10] 수我의中에保存되야決코消滅치안임과갓치我는死
[col 11] 하야宇宙의大活精에歸하나니此大活精은即我니라過
[col 12] 去의我라云하는者가今ㅣ我의胸中에保存되엿스며또
[col 13] 憶되여自活自覺의感을가짐과갓치只今의我는將來大
[col 14] 活精의裡中에包容되야永久自活하는是眞理의鐵案이
[col 15] 라할지로다吾人은以上의眞理를下와如히結論하면
[col 16] 一、宇宙는大한活精인데物質은그의表顯이니라
[col 17] 二、物質의엇던組織을生類라云하며此組織에는大活精이組織體가되야表顯하나니是를靈魂이라稱함
[col 18] 三、死와共히肉體가物質에歸함은即靈魂이活精에歸
