# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎理部
[col 02] ᄒᆞ리라ᄒᆞ면我의宇宙ᄂᆞᆫ忽然家毁枯木이되며我의世界ᄂᆞᆫ
[col 03] 動輒瓦礫沙漠이되야我의生活은生ᄒᆞ枯ᄒᆞ고
[col 04] 의活動은實로進退維谷이라다시進ᄒᆞ야觀코저ᄒᆞ면一切
[col 05] 我의活動은實로進退維谷이라다가가라
[col 06] 이憤懣ᄒᆞ고退ᄒᆞ야自保코저ᄒᆞ니終에一心이皆空ᄒᆞ거니終에
[col 07] 我ᄂᆞᆫ一切萬象을疑케되며進ᄒᆞ야天地今日의所從來를疑
[col 08] 케되며又進ᄒᆞ야天地今日의有ᄒᆞ我를疑케되ᄂᆞ다●
[col 09] 嗚呼라宇宙의範疇ᄂᆞᆫ何處이며何時일가我ᄂᆞᆫ敢히我
[col 10] 의短ᄒᆞᆫ想像으로此를推測키不能ᄒᆞ도다但宇宙의本來
[col 11] ᄒᆞᆫ一物일지라故로此를渺ᄒᆞᆫ本來一物이有ᄒᆞ야億萬兆의今古ᄂᆞᆫ
[col 12] 가有ᄒᆞ야슬지며今古가有ᄒᆞ야億萬兆의今古ᄂᆞᆫ
[col 13] 可不有ᄒᆞᆯ것이며天地今日이有ᄒᆞᆯ쥔ᄃᆡ從ᄒᆞ야天地今日이不
[col 14] 不可不有ᄒᆞᆯ것이라故로我의今日은是天地今日이有ᄒᆞᆯ所
[col 15] 以며天地今日은是今古가有ᄒᆞᆯ所以며今古ᄂᆞᆫ是一本來一
[col 16] 物이有ᄒᆞᆯ所以라從ᄒᆞ야我의今日을疑ᄒᆞᆯ진ᄃᆡ、먼저本來
[col 17] 一物을疑치아니치못ᄒᆞᆯ진뎌
[col 18] 萬若本來一物이是一空이면我ᄂᆞᆫ其一空된所以를疑케되
[col 19] 며若無空이면我ᄂᆞᆫ其一無空된所以를疑ᄒᆞ리라又若本來
[col 20] 一物이人이면我ᄂᆞᆫ其一人된所以를疑ᄒᆞ며若不人이면其
[col 21] 不人된所以를疑ᄒᆞ리라抑又若本來一物이物이면其一物
