# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_9_p5u.txt

[section] 敎理部
[col 02] 이外其機類에從ᄒᆞ야生殖ᄒᆞᄂᆞ니草는木이며
[col 03] 禾穀은禾穀이며杏樹에杏子가成ᄒᆞ고椰樹에椰子가熟ᄒᆞ
[col 04] 며桃李櫻梅의屬이各其類에隨ᄒᆞ야果實ᄒᆞ結ᄒᆞᄂᆞ니我心
[col 05] 의無量光노亦斯와如ᄒᆞ야一度宇宙의妙法에接觸되면一
[col 06] 切衆生이各其根機에應ᄒᆞ야發育될지라所謂致中和天
[col 07] 地位焉ᄒᆞ며萬物育焉이是也라若我心과共히其趣를一ᄒᆞ고
[col 08] 律ᄒᆞ엿다ᄒᆞ면一切의無常이我心으로써能히是境에
[col 09] 一切偶像이我心과共히其機를同히ᄒᆞᆯ지라花가開ᄒᆞ면我
[col 10] 心은ᄯᅩᄒᆞᆫ開ᄒᆞ며葉이落ᄒᆞ면我心은從ᄒᆞ야落ᄒᆞ되其理
[col 11] 는物에從ᄒᆞ야心이盛衰ᄒᆞᆷ이아니오我心의光明이萬機에
[col 12] 應ᄒᆞ야干涉ᄒᆞᆷ으로써라故로我心의光明은百千億無量數
[col 13] 의法身이되야百千億無量數의活動을줄지로다
