# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[title] 敎理部
[col 02] 을見ᄒᆞ며非古非今大意理를何地에서其眞을得ᄒᆞ엿는
[col 03] 가默히思컨대곳곳친字號ㅣ彷彿ᄒᆞ고곳곳친名字ㅣ分明ᄒᆞ
[col 04] 도다余ㅣ此를默히皇天에訴ᄒᆞ니天이有言ᄒᆞ사曰「너
[col 05] 도듯흐라人이엇나니무엇을知ᄒᆞ엿슴이냐各心의億兆ㅣ同
[col 06] 歸一體ᄒᆞ는줄을四十平生에始知ᄒᆞ엿든가笑哉余의過
[col 07] 去의百千萬事行爲時는何意味로其然ᄒᆞ엿스며入山意
[col 08] 其日부러字號名字곳친적에는何意味로其然ᄒᆞ엿든가所
[col 09] 謂立春日는詩는福祿은아니니긔何等經綸抱負잇서다
[col 10] 師衆人不同歸라疑心이엇지아니며宛然이부처처스니此
[col 11] 上人몽구경솔ᄒᆞᆫ에余의心事ㅣ如何든가그린脾胃의世
[col 12] 두고萬古업는無極大道ㅣ바다놋코자랑ᄒᆞ니그아니奇
[col 13] 壯ᄒᆞ냐
[col 14] 世上사람도라보니만고만인은其사람에人氣才質가려니
[col 15] 이聰明鈍才무엇시며世上사람저러ᄒᆞ타疑訝歎息무슴소
[col 16] 의고남만못ᄒᆞ고人物인줄汝엇지知ᄒᆞ엿스며남만못ᄒᆞ고才
[col 17] 質인줄汝ㅣ엇지知ᄒᆞ엿든고그런소리마라셔落後地後
[col 18] 처음이라셔運數을너노코胞胎之數ㅣ定ᄒᆡ며며自見
[col 19] 時자라남셔너의일너모를야格致萬物ᄒᆞ는法과百千
[col 20] 萬事行ᄒᆞ기를造化中에서거스니萬古人物아니냐나아
[col 21] 오섯각두지말고正心修道ᄒᆞ여서다시건디기로施行ᄒᆞ야
