# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 略史及敎理
[col 02] 大神師第一回設法을開ᄒᆞ니日
[col 03] 余의出世가於是焉四十이로다自見時의事를歷々히回顧
[col 04] 컨대天下紙人間百千萬事一一行ᄒᆞ니其然이오經營ᄒᆞ니若生
[col 05] 인디라呼一其中에所業成功이一無ᄒᆞ얏도다於是에四
[col 06] 十年過去原稿를一筆로抹殺ᄒᆞ고得中에所懷를一笑의下
[col 07] 에擲股ᄒᆞ고後一世를環視컨대時運이大革일서余一
[col 08] 이에龍潛으로還棲ᄒᆞ얏노라自後로盟誓를重히ᄒᆞ
[col 09] 고決心을堅히ᄒᆞᆫ後一山外에不出ᄒᆞ고다만安貧樂道로
[col 10] 써一身을自慰ᄒᆞ얏도라余一默히思컨대天이萬民을生
[col 11] ᄒᆞ얏거니반다시其職을授ᄒᆞᆫ것이오余命이天에在ᄒᆞ얏거
[col 12] 니死生이어지偶然히되랴然ᄒᆞᆫ즉余의運이비록蹇ᄒᆞ고
[col 13] 余의業이비록敗ᄒᆞ얏슬지라도此에何憂가有ᄒᆞ며何患
[col 14] 이有ᄒᆞ랴余又運回를窮컨대盛衰榮枯는常히循環不已
[col 15] ᄒᆞ도다因이有ᄒᆞ면果一有ᄒᆞ나니故로現今의富貴는前
[col 16] 日의勞苦로부터來ᄒᆞᆫ것이오今日의勞苦는更히後日福祿
[col 17] 의原因이니余一엇지一時의苦로天運의循環을逆數ᄒᆞ
[col 18] 敎理部
