# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[title] 敎理部
[col 02] 然ᄒᆞ면汝ᄂᆞᆫ全히此人生은無意味라ᄒᆞ야何等의快樂이
[col 03] 의觀念이업다ᄒᆞ니나曰否라汝는아즉道를不知ᄒᆞ도다
[col 04] ᄂᆞ니라
[col 05] 蓋吾人의生은元來是父母에由ᄒᆞᆫ事는뉘이를모르랴吾人
[col 06] 個의茶碗이잇다ᄒᆞ자此茶碗은土로써製造ᄒᆞᆫ것이것이다
[col 07] 論使用키爲ᄒᆞ야製造ᄒᆞᆫ일것이다
[col 08] 然ᄒᆞ면茶碗이라는本體는如何即茶碗이라ᄒᆞᆷ은何이뇨
[col 09] 金이라ᄒᆞᆯ지라도茶碗自身은何等感覺何等思想도업슬거
[col 10] 는안이다故로旣히茶碗이라ᄒᆞ면觀念도안이오土도안이
[col 11] 이이슬것이다
[col 12] 世界는七十有餘의元素로분러成ᄒᆞ얏다世界를解剖ᄒᆞ면
[col 13] 것이다하물며桑田이變ᄒᆞ야碧海가되며海底가浮ᄒᆞ야陸
[col 14] 것이나然ᄒᆞ면世界는다못觀念뿐이라抑又原素뿐이라
[col 15] 念도안이며原素도안이다그리ᄒᆞ야旣히世界의體相이有
[col 16] 人은通常肉體及精神으로밧그러成立ᄒᆞ엿다稱ᄒᆞ다佛
[col 17] 의肉體는數種의原素가化合ᄒᆞ야父母의因緣에由ᄒᆞ야
[col 18] 면人의肉體와精神은別이存在ᄒᆞᆫ것이냐否라肉과
[col 19] 合物이라ᄒᆞ면人의死ᄒᆞᆯ時精神은何處에든지離치안이
[col 20] 에連結ᄒᆞ다말ᄒᆞ엿다吾人은此外如히荒漠ᄒᆞᆫ言은信키不能
[col 21] 神의存在는事實이니라其는近世의靈跡事實에依ᄒᆞ야
[col 22] [?]神은精神과體[?]에[?]用[?]不[?]한[?]다말ᄒᆞ나然이나
