# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section] 敎理部
[col 02] 故를問ᄒᆞᆫ딕漂女ㅣ皆曰西天에瑞氣ㅣ有ᄒᆞ야貴客의頭上
[col 03] 에互來ᄒᆞ는故로見ᄒᆞ노라云ᄒᆞ더라大神師ㅣ營에入ᄒᆞ니
[col 04] 營將이曰汝ㅣ一個의褒士로何等妖術을弄ᄒᆞ야多衆을惑
[col 05] 케ᄒᆞ나뇨大神師ㅣ目을張ᄒᆞ고營將을視ᄒᆞ야曰天命을이
[col 06] 른性이오率性을이른道오修道를이른敎ㅣ니此三端으로人
[col 07] 을敎ᄒᆞᆷ이무엇이理에不當ᄒᆞ뇨營將이大神師의威儀凜肅
[col 08] ᄒᆞ며擧動이非凡ᄒᆞᆷ을見ᄒᆞ고驚惶失色ᄒᆞ야敢히措言치못
[col 09] ᄒᆞ고放送ᄒᆞ니라
[col 10] 時에慶州倅ㅣ禮吏로써大神師께告ᄒᆞ야曰室人이病이有
[col 11] ᄒᆞ얏스니先生은符圖로써勿藥自効케ᄒᆞ소서ᄒᆞᆫ딕大神師
[col 12] ㅣ默念良久에曰今에病이癒ᄒᆞ얏나니汝ㅣ歸ᄒᆞ라禮吏往
[col 13] 復ᄒᆞ더倅曰病이方今癒ᄒᆞ엿도다
[col 14] 是時에大神師ㅣ世人의迷信을歎ᄒᆞ야徒弟에게謂ᄒᆞ야曰
[col 15] 消海ᄒᆞᆫ이世上에、君不君臣不臣과、父不父子不子를、
[col 16] 晝宵間嘆息ᄒᆞ니響々ᄒᆞ이니懷抱ㅣ胷中에가득ᄒᆞ야
[col 17] 는사람젼혀업서、妻子產業다바리고、天下江山다밟아
[col 18] 시人心風俗살펴보니、無可奈何ᄒᆞᆯ일업네、怪異ᄒᆞᆫ東國讖書、취커늘고
[col 19] 上이아마도이世上은利在弓々村차자가고、或은萬
[col 20] ᄒᆞ는말이아마도이世上은利在弓々分明타고富貴貧賤
[col 21] ᄒᆞ는것업시、一心은弓々이라或은弓々村차자가고、或은萬
