# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[author] 白頭山人
[col 02] 書無工課之篤、意墜靑雲之志家産漸襄、未知末梢之如
[col 03] 何、年光漸益、自嘆身勢之將拙、料難八字、又有塞飢之
[col 04] 慮、念來四十、豈無不成之嘆、巢穴未定、誰云天地之廣
[col 05] 大、所業交違、自憐一身之難藏、自是由來、擺脫世間之
[col 06] 紛擾、賣去智海之綢結、龍潭古舍、家嚴之丈席、東都新
[col 07] 府、惟我之古鄕、率妻子還捿之日、己未之十月、乘其運
[col 08] 道受之節、庚申之四月、是亦夢寐之事、難狀之言、察其
[col 09] 易卦大定之數、審誦三代、敬天之理、於是乎惟知先儒
[col 10] 之從命、自嘆後學之忘却、修而鍊之、莫非自然覺來天
[col 11] 子之道則一理之所定也、論其惟我之道則大同而小異
[col 12] 也、去其疑訝則事理之常然、察其古今則人事之所爲、
[col 13] 不意布德之心、極念致誠之端、然而彌留、更逢辛酉時
[col 14] 維六月、序屬三夏、良朋滿座、先定其法、賢士問我、又
[col 15] 觀布德、智藏不死之藥、弓乙其形、口誦長生之呪、三七
[col 16] 其字、開門納客、其數其然、肆筵設法、其味其如冠子進
[col 17] 退悅若有三千之班、童子拜拱倚然有六七之詠、年高於
