# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section] 講演
[col 02] 이오其中和를得ᄒᆞᆫ者尙無ᄒᆞᆫ故로다盖人은
[col 03] 性身合格이라性身中間에立ᄒᆞ야不偏不依
[col 04] 的極度의宗敎가現出치아니ᄒᆞ면人生의主
[col 05] 觀眼은範圍를脫ᄒᆞᆯ一日이無ᄒᆞ지니今에吾
[col 06] 敎의元理와人生上現象의關係를融合키爲
[col 07] ᄒᆞ야數條를擧ᄒᆞ노라
[col 08] 迷信與不迷信、天下의人이不迷信으로生
[col 09] 活ᄒᆞᄂᆞᆫ者無ᄒᆞ며天下의事一不迷信으로成
[col 10] ᄒᆞᄂᆞᆫ者亦無ᄒᆞ도다烈女ᄂᆞᆫ貞節에迷信ᄒᆞ며
[col 11] 忠臣은國家에迷信ᄒᆞ며法律家ᄂᆞᆫ法律에迷
[col 12] 信ᄒᆞ며學文家ᄂᆞᆫ學文에迷信ᄒᆞ며農家ᄂᆞᆫ耕
[col 13] 耘에迷信ᄒᆞ며商家ᄂᆞᆫ貿易에迷信ᄒᆞᄂᆞ니迷
[col 14] 信ᄒᆞᆷ으로熱誠이生ᄒᆞ며熱誠이生ᄒᆞᆷ으로不
[col 15] 可爲의事가絶無ᄒᆞᆯ지라世人이通常迷信을
[col 16] 宗敎信者의게加稱ᄒᆞᄂᆞ니大抵宗敎라ᄒᆞᆷ은
[col 17] 何等眞理가乏ᄒᆞᆫ古代蠻敎라도總히人類의
