# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p5.txt

[section_running] 天道敎會月報
[col 02] 知하고漸次爽快를減하고勇氣를喪함에至함은一般의
[col 03] 常情이니라
[col 04] 大槪一靑年은人生을無限으로視하고老年은此生을
[col 05] 無常으로視하나니是靑年의眼은遠視眼과如히人生을
[col 06] 長하다視케되며老年의眼은近視眼과如히事物을短하
[col 07] 게視함으로써
[col 08] 抑老後에人生을回顧하면何故로人生을短하다處하
[col 09] 는가是記憶이簡短함으로써ㅣ오吾人의老後에는重要
[col 10] 치안이한者及不愉快한者는惜消失하고다못僅少한
[col 11] 者쌘이殘留함에不拘하고火ㅣ直히滅함으로써他一의
[col 12] 過去幾十年間에在한生活現象中에서記憶에殘留
[col 13] 한者쌘回顧함으로써過去를簡短視함은免키不能한數
[col 14] 니라
[col 15] 如何튼지吾人의記憶은極히簡短하니特히舊遠
[col 16] 에屬하면屬할사록더욱朦朧하야짐이恰然히航海者
[col 17] 가沿岸에距함이遠하야距離에比例하야岸頭
[col 18] 의事物이益々模糊함과如하니라
[col 19] 然한데時로는吾人의回像을想은遠한過去의事件을
[col 20] 明白히表顯키하야恰然히昨日의事件과如히思考케되
[col 21] 는바도不無하나니是亦畢竟은吾人의記憶이薄弱함
[col 22] 의方法이有하니此를란부에喩컨대一個의란부는油
[col 23] 一少하나然이나燃燒力이長하니是一燭心이細하야
[col 24] 消費力이少함으로써燭이長하고他一의란부는油
[col 25] 가多하고火ㅣ直히滅함으로써他一의란부는油가多하고
[col 26] 不拘하고火ㅣ直히滅함으로써他一의燭心이大하야消費力이
[col 27] 多함으로써人間의壽命도亦然하야油는生活力인데
[col 28] 燭心의巨細는勞力消費의多少니라勞力消費가過大할
[col 29] 쌘으로營養의供給이不足한者는到底長壽를望키不能
[col 30] 하니라
[col 31] 그리하야此長壽의至寶되는生活力에就하야觀察
[col 32] 하저대三十六歲以前은利子로써生計를立하는人과
[col 33] 如하야今日配當된利子는明日亦分配希望이有하나
[col 34] 然이나三十六歲以後에至하아는資本을傷하면서生計
[col 35] 를營하는人과如하니라靑壯時代에는消費의大部分
[col 36] 이吾人의記憶이薄弱함
[col 37] 이나年齡과共히損耗는益々多額에要함으로今日은啞
[col 38] 는바도不無하나니是亦畢竟은吾人의回像이益々多額에要함으로
[col 39] 明白히表顯키하야恰然히昨日의事件과如히思考케되
