# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[title] 敎理
[col 02] 히당기다가이내마음맛칠진대그안이述數런가遠
[col 03] 處에잇의가까게되면便利가되고아니가면害가되야
[col 04] 不日發程호다가中路에서生覺호니길은점々멀어
[col 05] 가고집은점々生覺나서禁치못할이내懷抱徘徊側路
[col 06] 中生覺호니이거름을가지마는엇덜년고(도도回
[col 07] 程호엿스니저사람庸劣호고글네字밝혀나여萬古
[col 08] 事蹟昭然호다아홉길造山호서그마음오작홀가當初
[col 09] 에먹은마음遍不及될가해서모고모고다시모고五
[col 10] 仞六仞모은적에보고나니滋味되고허고나니成功이
[col 11] 라어서亦雙目盲者자이번이나저번이나차々々
[col 12] 플련마음燦々해서져보고지정해서그쳤더니달
[col 13] 은는다시보니혼소고리더레면면除根업시이룬功을
[col 14] 엇지이리不及쿄교이릴일을본다해도連數는같이
[col 15] 가고조갓튼暫時로다馳抱호조론남기두어즈찌어슨들
[col 16] 良工은不棄랴고其말이憫憫한다捧入이不及호야안
[col 17] 나보면멀어지중나이말저말다던지고若干々々記錄호
[col 18] 니글도亦是無窮이오말도亦是無窮이라無窮호이
[col 19] 글속에無窮히앙앗스민無窮호이글속에無窮호내안
[col 20] 인가
[col 21] 十月二十八日은大神師의誕日이라各地門徒一同會合호엿
