# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[section] 敎理部
[col 02] 法律에는弱者病者도同一의價値의者로認定ᄒᆞ고健者
[col 03] 强者도亦是一以上의價値는無ᄒᆞ者로看做ᄒᆞ나니如斯히
[col 04] 觀來ᄒᆞ면是的思想이야말로社會의平和와幸福을増進ᄒᆞᆷ
[col 05] 에最有效라公認이된結果ᄂᆞᆫ若弱者病者가社會에利益
[col 06] 을與ᄒᆞᆷ보다도損害을與ᄒᆞ는便이多ᄒᆞ다ᄒᆞ면社會고如斯
[col 07] ᄒᆞ弱者을保護ᄒᆞᆷ보다도寧히絶根케ᄒᆞᄂᆞᆫ方法을講究ᄒᆞᄂᆞ것
[col 08] 이得策이될것이나然이나強과弱과病이라ᄒᆞᆷ은畢竟
[col 09] 권디比較的敎理에不過ᄒᆞ者일지라玆에乙이己보다强者가
[col 10] 强者라ᄒᆞ고甲을弱者라ᄒᆞᆫ다ᄒᆞ자丙이又乙보다强者가된
[col 11] 다ᄒᆞ면乙은又弱者가되지안이치못ᄒᆞᆯ事實이며그리
[col 12] 係는對照的者로社會生活上에避키不可ᄒᆞ者는無數의關
[col 13] ᄒᆞ야社會에서協全의生活을營ᄒᆞ는者는[?]力의關係上에
[col 14] 셔互相依立ᄒᆞ며信賴ᄒᆞ야相助ᄒᆞᆷ바이스며病者라云ᄒᆞ
[col 15] 云ᄒᆞ지라도弱者에賴ᄒᆞᆯ바이스며故로健者라
[col 16] 者에與ᄒᆞᆯ바不無ᄒᆞ니故로人類全體를唯一道德體系로
[col 17] 看做ᄒᆞ다ᄒᆞᆫ것은極히大切ᄒᆞ것이며是가人類의社會生
[col 18] 活을營ᄒᆞᆷ에必須ᄒᆞ根本公律이니라
[col 19] 是的根本公律을不置ᄒᆞ고個人의單獨價値에만依ᄒᆞ야其
[col 20] 尊敬의態度를異케ᄒᆞ면各個人의生命과幸福은不絶히危
[col 21] 殆의位置에陷ᄒᆞᆯ것이로다何故오價値의高下ᄂᆞᆫ殆히無限
