# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎理部
[col 02] 을運用치못ᄒᆞᄂᆞ是로써觀ᄒᆞ면羣居生活과社會生活의
[col 03] 相違ᄂᆞᆫ何에在ᄒᆞ야홀ᄒᆞ면前者ᄂᆞᆫ協仝과分業이具ᄒᆞ엿고後
[col 04] 者ᄂᆞᆫ此가缺如ᄒᆞᆯᄲᅮᆫ이로다
[col 05] 大低協仝은社會라云ᄒᆞᄂᆞᆫ全體抽象的意義ᄅᆞᆯ代表ᄒᆞᆫ者
[col 06] 오分業이라홈은個人具體的活動을意味ᄒᆞᆫ것이라故로協
[col 07] 仝에在ᄒᆞ社會와分業에在ᄒᆞ個人은海의全圓과波의分派
[col 08] 와如ᄒᆞ야全海面의活動은波에及ᄒᆞ며波의運動은更히海
[col 09] 에及홈과如히社會의大運回ᄂᆞᆫ一個人에波及ᄒᆞ고一個人
[col 10] 의活動은更히全社會에影響ᄒᆞᄂᆞᆫ即協仝은分業의影響
[col 11] 을受ᄒᆞ고分業은協仝의影響을受ᄒᆞᆷ갓치社會ᄂᆞᆫ個人의影
[col 12] 響을受ᄒᆞ고個人은社會의影響을受ᄒᆞᆯᄉᆡ라換言ᄒᆞ면社會
[col 13] ᄂᆞᆫ個人의利澤을受ᄒᆞ고個人은社會의利益을受홈은即一
[col 14] 肢體ᄂᆞᆫ全體의滋養을受ᄒᆞ고全體ᄂᆞᆫ各個體의滋養을受ᄒᆞ
[col 15] 야敎育됨과一般일지라
[col 16] 於是에個人은社會라云ᄒᆞᄂᆞᆫ全體的意義ᄅᆞᆯ完全히解釋ᄒᆞ
[col 17] 야各個人이各其各個體에서孤立矛盾의敎達을避ᄒᆞ고共
[col 18] 和協仝의眞價値ᄅᆞᆯ理解치안이홈이不可ᄒᆞ도다
[col 19] 盖社會生活의最妨害點은個人의孤立的態度가是ᄂᆞ以
[col 20] 上에逃홈과갓치專攻은協仝의半面인故로協仝과專攻은
[col 21] 互相離逋ᄒᆞᆯ關係가有ᄒᆞᆯ것이지만은其間에ᄂᆞᆫ能히言說로
