# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section_running] 隨太陽流照影
[col 02] 因而問ᄒᆞ야曰君等이或此를解ᄒᆞ난者ㅣ有ᄒᆞ뇨
[col 03] 然默默ᄒᆞ더라、又曰余ㅣ前夜에一夢을得ᄒᆞ니、太陽
[col 04] 殺氣左股에着ᄒᆞ야人字를成ᄒᆞ더니聲에도오히려一點
[col 05] 紫痕이有ᄒᆞ야三日을改치아니ᄒᆞ엿나니吾ㅣ以是로禍
[col 06] 의將至를知ᄒᆞ노라又曰
[col 07] 日後에法을爲ᄒᆞ난者ㅣ一에在ᄒᆞ고二에不在ᄒᆞ며三에
[col 08] 在ᄒᆞ고四에不在ᄒᆞ며五에在ᄒᆞ고六에不在ᄒᆞ나니라又曰
[col 09] 天이五萬年無極大道로써我에게授ᄒᆞ엿나니、故로吾
[col 10] 道ᄂᆞᆫ後天五萬年의大道니라我ᄂᆞᆫ上帝를知ᄒᆞ노니上帝
[col 11] 의心은即余의心이니라余ᄂᆞᆫ人心即
[col 12] 天心임을宣言ᄒᆞ노니故로吾道ᄂᆞᆫ今不聞古不聞今不比
[col 13] 古不比니라人이此言을聞ᄒᆞ고或不然이라ᄒᆞᄂᆞᆫ者ㅣ有ᄒᆞᆷ은
[col 14] 是ㅣ아직迷에彷徨ᄒᆞᄂᆞᆫ者니라 然而大道를通ᄒᆞᄂᆞᆫ法
[col 15] 은甚히簡單ᄒᆞ느니다만二十一字를傳ᄒᆞ짜름이온어人
[col 16] 이流呪를듯고誦ᄒᆞᄂᆞᆫ者ㅣ잇나니이ᄂᆞᆫ天道의敬傳ᄒᆞᄂᆞᆫ
[col 17] 意ㅣ아니라師師相授ᄒᆞ야淵源을一其흠은大運의大血
[col 18] 脉이니라
[col 19] 是日에大神師ㅣ又不然其然과八節을作ᄒᆞ시다
[col 20] 歌曰而千古之萬物兮、各有成各有形、所見而論之則其
[col 21] 然而似然、所自以度之則其遠而其遠、是亦杳然之事、
