# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎理
[col 02] 히당기다가,이내마음맛실진대,그안이運數런가,遂
[col 03] 慮에휩이잇셔,가게되면利가되고,아니가면害가되야
[col 04] 不日發程ᄒᆞ다가셔,中路에셔生覺ᄒᆞ니,길은점々밀어
[col 05] 가고,집은점々生覺나셔,禁치못ᄒᆞᆯ이懷抱,徘徊路
[col 06] 中生覺ᄒᆞ니이기름을가지마눈엇덜넌고〈〈,도로回
[col 07] 程ᄒᆞ엿스니,져사람庸劣ᄒᆞ고,글네字밖ᄒᆞ나여,萬古
[col 08] 事蹟照然ᄒᆞ다,아홉길造山ᄒᆞ셔,그마음오작ᄒᆞᆯ가,當初
[col 09] 에먹은마음,猶不及될가해셔,오고오고다시모고,五
[col 10] 閉六切모을떡에,보고나니滋味되고,ᄒᆞ고나니成功ᄒᆞ
[col 11] 랴,이셔울자빗비ᄒᆞ자,이번이나져번이나,차々々
[col 12] 폴텐마음爆々해셔지조보고,지질해셔그첫더니,달
[col 13] 은눈다시보니,ᄒᆞ소고리더해던면,餘恨업시이를功을
[col 14] 고,초갓ᄒᆞᆫ暫時로다,連抱ᄒᆞᆫ조ᄒᆞᆫ남기두어즈젹어슨들
[col 15] 良工은不乘이라고其말이憫悶ᄒᆞ다,榛人이不及ᄒᆞ야안
[col 16] 니보먼엇지ᄒᆞ나,이말져말다던지고,若干々々記錄ᄒᆞ
[col 17] 니,글도亦是無窮이오,말도亦是無窮이라,無窮ᄒᆞ내
[col 18] 인가
[next] 
[col 20] 十月二十八日은大神師의誕日이라各地門徒ㅣ圓會ᄒᆞ엿
[col 21] 글속에,無窮히안잇스면無窮ᄒᆞᆫ이글속에無窮ᄒᆞ내안
