# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p3.txt

[section_running] 敎門訂議
[col 02] 에在ᄒᆞ야僅히其一面의圭角을得ᄒᆞ얏ᄲᅮᆫ으로其의全體原理
[col 03] 를把得지못ᄒᆞᆫ結果ㅣ古今千載에歧論이紛紛ᄒᆞ얏도다
[col 04] 上帝의이름이며五萬年勞而無功이라ᄒᆞᆫ곳이돔이돔이니
[col 05] 吾人은此全體原理를直接ᄒᆞ야見道라ᄒᆞ얏도다
[col 06] 然ᄒᆞᆫ딕此宇宙의大根底人生의大極致가庚申四月에
[col 07] 大神師의覺性에依ᄒᆞ야치음으開闢이始初되아人이直接大神師의貴格으로萬理萬事를
[col 08] 로發現됨은實로大因緣이運間
[col 09] 에伏在ᄒᆞᆫ줄이라ᄒᆞ노라
[col 10] 大神師는十萬年을先後天變
[col 11] 復期로觀ᄒᆞ야前五萬年을先天
[col 12] 이라云ᄒᆞ고後五萬年을後天
[col 13] 이라云ᄒᆞ셧는딕庚申四月五日은
[col 14] 即前後天變復의期라ᄒᆞ셧나니
[col 15] 今에此十萬年의說을科學
[col 16] 上으로부터보면卽此地球上
[col 17] 에는十萬年을一度로ᄒᆞ야氷期時代가輪回ᄒᆞᆷ은是ㅣ太
[col 18] 陽과地球의軌道關係上避치못ᄒᆞᆯ事實이라ᄒᆞ얏나니(雜
[col 19] 誌欄天道敎五萬年開闢說과科學上研究라ᄒᆞᆫ問題를參照
[col 20] ᄒᆞ여라)元來大神師의此說은科學上研究로붓터出ᄒᆞᆫ바아
[col 21] 니로되此說이事實的인科學과符合됨은實로奇異치아니
[col 22] ᄒᆞᆫ가
[author] 奉訓 金 敎慶
[col 24] 然ᄒᆞᆫ딕先天五萬年은世界가氷期時代로붓터生物의分
[col 25] 布를定ᄒᆞ고그리ᄒᆞ야人類의原始的發達로붓터機械的空
[col 26] 想的文明에至ᄒᆞᄂᆞᆫ時間이오後天五萬年은人類의精神
[col 27] 神化에依ᄒᆞ야發達ᄒᆞᄂᆞᆫ時代니庚
[col 28] 申은即後天開闢의初頭이엇나니
[col 29] 玆에至ᄒᆞ야古不聞今不比
[col 30] 古不比의天道가發生ᄒᆞ며今不比
[col 31] 年開闢의運을支配케됨은實로偶
[col 32] 然이아인事이니吾人은此偉大ᄒᆞᆫ
[col 33] 庚申에對ᄒᆞ야第二膜拜를獻치아
[col 34] 님이不可ᄒᆞ도다
[section] 三、信徒와庚申年
[col 36] 玆에至ᄒᆞ야發達ᄒᆞ도다吾人은今年으로써어느듯六十一歲
[col 37] 滿天下同德이여天道敎ᄂᆞᆫ今年으로써어느듯六十一歲
[col 38] 의花甲을迎케되엿도다吾人은悠久ᄒᆞᆫ過去를顧ᄒᆞ고
[col 39] 遠ᄒᆞᆫ將來를展望ᄒᆞ니實로慷慨와希望이互相交叉迸出ᄒᆞᆷ
[col 40] 을禁치못ᄒᆞᆯ갓도다思ᄒᆞ라庚申四月五日ㅣ天語가有
[col 41] ᄒᆞᆫ以來ㅣ吾人은幾多曲折ᄒᆞᆫ羊路에轉乞ᄒᆞ얏스며幾多
[page] 九
