# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_6_p6.txt

[title] 天道敎會月報
[col 02] 理가되지못할것이므로써이라
[col 03] 第四는此世界를天國으로알며此世界의億兆蒼生을天人으로共知하야其의最後完成이天國의實現이며其의最後
[col 04] 覺悟가天國의永生으로知치안이함이不可하나니即今日以後의天國과永生主義는徹頭徹尾吾人의所在吾人의覺
[col 05] 悟그것이直接一天國이되며永生이될것을確信치안이함이不可하겟다
[col 06] 吾人은以上四個條써最後宗敎의眞風光이라할늘마지안이하노니是故敎가如何히自敎로써眞正한信仰이라自
[col 07] 處하며儒가如何히自己로써眞正한道儒이라自認하며佛敎가如何히自己로써眞正한覺悟라할지라도以上四個
[col 08] 條를具備치못하다하면그는아모리하야도一偏의眞理라云치안이치못할지니今日宗敎家된者는此点에서深
[col 09] 々한考慮를致치안이함이不可하겟다
[col 10] 五
[col 11] 萬一一切의眞理가다갓치時代의産物이라할것호면吾人은생각건대今日의時代에도또한今日의時代에適合
[col 12] 한宗敎가出生하엿스리라自信하노니그는必然的道理이며當然의道理됨으로써라
[col 13] 然하면吾人은무엇으로써即何宗敎로써今日時代에適合한宗旨라自信하는가吾人은그윽히吾人이信하는바
[col 14] 此天道의宗旨가넉々히今日世界로써同歸一體케할만한素質을가젓다하리니試하야吾人으로天道의内容을一見
[col 15] 케하라
[col 16] 吾敎元祖水雲大神師一일즉우리의게天道敎의眞理를宣言하엿되日
[col 17] 此世는後天精神開闢이니此世는過去의모든惡道惡法으로써能히此를廣濟치못할지요오즉天道그대로를此
[col 18] 世에廣佈케하라
[col 19] 又曰
[col 20] 天道는儒佛仙其他모든것이안이오그모든것의源泉을이룸이니그림으로天道는모든不圓滿에對한圓滿이니라
[col 21] 以上二條로써말하면此時代의進步한民衆의思想은過去法의宗敎로써支配치못할것을一言하고그리하야過
