# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_11_p6u.txt

[section_running] 敬門訂騭
[col 02] 卽世界新思想의曙光으로東西各地에心
[col 03] 靈研究가勃興ᄒᆞ야新信仰의基礎ᄅᆞᆯ個性
[col 04] 中心의上에求코저ᄒᆞᆷ은各種의思想階級
[col 05] ᄃᆞᆯ은通ᄒᆞ야一般的象徵이엿더라於是에其
[col 06] 靈의偉大ᄒᆞᆫ勢力을確認ᄒᆞᆷ에至ᄒᆞ야天堂
[col 07] 과極樂을시로히自我의靈性範圍內에서
[col 08] 覺ᄒᆞᆯ만ᄒᆞᆫ機會에逢著ᄒᆞ엿도다
[col 09] 以上ᄋᆞᆫ大槪ㅣ世界에對ᄒᆞᆫ舊信仰의衰頹
[col 10] 와新信仰의勃興을一筆로槪括ᄒᆞᆫ바不外ᄒᆞ
[col 11] ᄂᆞ蓋此等의風潮가思想界의大海ᄅᆞᆯ壓來
[col 12] ᄒᆞᆷ은是ㅣ將次大ᄒᆞᆫ宗敎가開闢의新運命
[col 13] 을帶ᄒᆞ고此地球의上에出來ᄒᆞᆯ神秘的大
[col 14] 原因이라ᄒᆞᆯ지로다
[col 15] 吾敎元祖ㅣ大神師ㅣ大覺의際에天籟의
[col 16] 神音을吐ᄒᆞ야曰「開闢以後ㅣ五萬年에
[col 17] 勞而無功ᄒᆞ다가서너ᄅᆞᆯ만나成功ᄒᆞ니
