# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_4_p4.txt

[section_running] 敎理部
[col 02] 外에長在ᄒᆞ기에光線에無ᄒᆞᆫ處ᄂᆞᆫ普通眼으로見ᄒᆞᆷ必要가
[col 03] 無ᄒᆞᆷ에依ᄒᆞ야他의感覺으로써物을見키되엿다ᄒᆞ리라
[col 04] 吾人類도今日光線의下에生活을營ᄒᆞᄂᆞᆫ物도光線中物
[col 05] 을見키爲ᄒᆞ야今日光線的作用에必要ᄒᆞᆫ肉眼을要ᄒᆞ엿스나
[col 06] 若光線이全無ᄒᆞᆫ處에生活ᄒᆞᆫ다ᄒᆞ면眼이無ᄒᆞ고도物을
[col 07] 見ᄒᆞ리라ᄒᆞᆷ은決코無理의事ㅣ아닐지로다
[col 08] 是等事實을見ᄒᆞᆯ지라도人類의感覺은原始時代에서何
[col 09] 等組織이無ᄒᆞ엿스나生存必要에應ᄒᆞ야必要ᄒᆞᆫ部分
[col 10] 샌이發達ᄒᆞ얏슬것이며從ᄒᆞ야若人類가生存的要件에
[col 11] 依ᄒᆞ야他의感覺을要ᄒᆞᆯ狀態가有ᄒᆞ면或은此에應ᄒᆞ
[col 12] 야다시必要ᄒᆞᆫ感覺이發達될는지도不知ᄒᆞᆯ者ㅣ아니나然
[col 13] ᄒᆞ면吾人의心理에ᄂᆞᆫ現在感覺以外에無限ᄒᆞᆫ潛感覺이
[col 14] 神秘된事ㅣ明白ᄒᆞ도다
[col 15] 　五、感覺以外의靈感作用
[col 16] 考古學을見ᄒᆞ면歷史前人類의腦髓ᄂᆞᆫ現今人類에比ᄒᆞ야
[col 17] 非常ᄒᆞᆫ差異가有ᄒᆞ다ᄒᆞᄂᆞ니即言語의機關과如ᄒᆞᆫ部分도
[col 18] 大部分은缺하엿다云하엿슨則此로言ᄒᆞᆯ지라도人類ᄂᆞᆫ
[col 19] 次第進化하야其形을具ᄒᆞ엿슨則其時代에尙且言ᄒᆞᆯ
[col 20] 事ㅣ明白ᄒᆞ도다思컨디此時代의人類ᄂᆞᆫ即動物과如ᄒᆞ
[col 21] 야鳴聲의外에何者를發ᄒᆞᆯ事ㅣ不無ᄒᆞ엿ᄂᆞᆫ다此時에ᄂᆞᆫ其鳴
[col 22] 도無ᄒᆞᆷ에不拘하고能히自運自動ᄒᆞ야必要ᄒᆞᆫ方面에ᄂᆞᆫ
[col 23] 自體의運動을繼續ᄒᆞ고畢竟컨디人類의感覺도
[col 24] 아미재의必要에應ᄒᆞ야方向을定ᄒᆞᆷ과如히必要에應ᄒᆞ
[col 25] 야次第로發達ᄒᆞ야太陽의下에光線으로物을見키爲ᄒᆞ
[col 26] 야眼이作成되고香을嗅키爲ᄒᆞ야鼻가作成되야數十
[col 27] 萬年光線의裡에不知不識間ㅣ今日과如ᄒᆞᆫ感覺섀지發達
[col 28] ᄒᆞ을見ᄒᆞ엿ᄂᆞ라
[col 29] 人類ᄂᆞᆫ眼이無ᄒᆞ면物을見키不能ᄒᆞ나動物의中에ᄂᆞᆫ
[col 30] 眼이無ᄒᆞ고도能히四圍의物을見ᄒᆞᄂᆞᆫ實例가有ᄒᆞ엿ᄂᆞ니
[col 31] 今에其一例를擧ᄒᆞ면北米合衆國의니다즈기州에有
[col 32] ᄒᆞᆫ맘모스洞은縱十里의長을有ᄒᆞᆫ大穴이有ᄒᆞᆫ디此中
[col 33] 에ᄂᆞᆫ大河가有ᄒᆞ야魚蝦의類가此中에生成ᄒᆞᄂᆞᆫ住所를作
[col 34] ᄒᆞ엿ᄂᆞ라此穴은何時든지陽의光線이不入ᄒᆞ야暗
[col 35] 黑ᄒᆞ이全然히鐵道隧道와如ᄒᆞᆫ狀態을成ᄒᆞ엿슨則其
[col 36] 中에住ᄒᆞᄂᆞᆫ動物은總히盲目으로眼의重要部分은無ᄒᆞ
[col 37] 고唯其形跡만有ᄒᆞᆯ썬然이나事實에對ᄒᆞ야ᄂᆞᆫ眼이
[col 38] 有ᄒᆞᆫ動物과同樣으로見ᄒᆞᆫ다ᄒᆞ며他所에在ᄒᆞᆫ魚類와
[col 39] 實地도調査ᄒᆞ야본則一種이아니며
[col 40] 同種類의魚類가存在ᄒᆞᆷ을發見ᄒᆞ엿슨則此에依ᄒᆞ야도되暗
[col 41] ᄒᆞ면是等의動物이當初로眼이無ᄒᆞ엿ᄂᆞᆫ者ㅣ아니로되暗
[col 42] 二七
