# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1.txt

[title] 東經大全要旨講解 (續)
[author] 李 敦 化
[col 03] 或曰君子와聖人의層階를確聞코져ᄒᆞ노
[col 04] 라曰君子ᄂᆞᆫ仁義에後ᄒᆞ며聖人은仁義에
[col 05] 主ᄒᆞ며君子ᄂᆞᆫ有方에動ᄒᆞ야無方에應ᄒᆞ
[col 06] 되聖人은無方에動ᄒᆞ야有方에應ᄒᆞ고君
[col 07] 子의孝ᄂᆞᆫ敬으로써ᄒᆞ되聖人의孝ᄂᆞᆫ愛로
[col 08] 써ᄒᆞ며君子ᄂᆞᆫ刻意尙行으로ᄡᅥ亢ᄒᆞ고恭
[col 09] 儉推讓으로ᄡᅥ修ᄒᆞ며語功名禮君臣으로
[col 10] 爲治ᄒᆞ되聖人은刻意치아니ᄒᆞ고語功名
[col 11] 恭儉치아니ᄒᆞ고治ᄒᆞ나니以上은君子와
[col 12] 聖人의階級이라役을變ᄒᆞ야主를成ᄒᆞ며
[col 13] 有方으로進ᄒᆞ야無方에居ᄒᆞ며敬으로進
[col 14] ᄒᆞ야愛에達ᄒᆞ며刻意로自ᄒᆞ야不刻意
[col 15] 境에達ᄒᆞ면聖의門을可窺ᄒᆞᆯ지니盖人生
[col 16] [?]初三[?]가譯[?]이아[?][?][?][?][?]한은一落人
