# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p3.txt

[section_running] 敎理部
[col 02] 니何者오上古의民이不寧而仁ᄒᆞ며不敎
[col 03] 而化ᄂᆞᆫ其故가엇지他에在ᄒᆞ리오社會自
[col 04] 体가自然敎化中에在ᄒᆞ야賤ᄒᆞᆯ바無ᄒᆞᆷ으
[col 05] 로貴ᄒᆞᆯ바物이不生ᄒᆞ며醜ᄒᆞᆯ바無ᄒᆞᆷ
[col 06] 으로美ᄒᆞᆯ바慾이不生ᄒᆞ며善ᄒᆞᆯ바物이無ᄒᆞᆷ
[col 07] 흠으로惡ᄒᆞᆯ바慾이無ᄒᆞ니夫水性은不激
[col 08] ᄒᆞ면就下ᄒᆞᆷ은定理라故로不言而一ᄒᆞ고
[col 09] 無敎而天ᄒᆞ니是乃天然的一心時代라ᄒᆞ
[col 10] ᄂᆞ니라中古以來로曰善曰惡曰富曰貴的
[col 11] 萬般慾望物을社會自体로組成ᄒᆞ야個人
[col 12] 에게任他ᄒᆞ니於是에競爭力이始生ᄒᆞᆯ시
[col 13] (此所謂老氏◦不貴難得之貨◦使民不爭◦
[col 14] 不尙賢◦使民不競)이라ᄒᆞ니엇지硏心ᄒᆞᆯ
[col 15] 語가아니리오近世에至ᄒᆞ야ᄂᆞᆫ其弊가尤
[col 16] 甚ᄒᆞ야物慾만知ᄒᆞ고有天은不知ᄒᆞ며物
[col 17] 萬人萬心이로다然則此等善惡賢不肖를
[col 18] 根本的으로破滅ᄒᆞ야使民不爭케抑論이
[col 19] 아니라此則進步社會에當然ᄒᆞ理니忠者
[col 20] 에對ᄒᆞ면進步社會에當然ᄒᆞ理니忠者
[col 21] 對ᄒᆞ不知ᄂᆞᆫ此比較的競爭進步됨은物質의
[col 22] 避의原理라其不可避의原理도亦不
[col 23] 各面으로硏究ᄒᆞᆫ바오可避의原理도亦不
[col 24] 無ᄒᆞ니卽以上所述ᄒᆞᆫ天下에通有性을大
[col 25] 天精神下이融合케ᄒᆞᆷ이라
[next] 
