# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section_running] 敎理部
[col 02] 宙妙心은言語와文字로써發表ᄒᆞ기難ᄒᆞ니若
[col 03] 言辭로써發表ᄒᆞ며文字로써傳ᄒᆞᆫ다ᄒᆞ면其
[col 04] 눈旣히第二義、第三義에墮落ᄒᆞᆫ者라決코
[col 05] 妙의眞面目을體得ᄒᆞ얏다言키難ᄒᆞ도다
[col 06] 然이나第一義의眞風光을摸寫코져ᄒᆞ면不
[col 07] 可不第二義、第三義의望遠鏡을掛치아니
[col 08] ᄒᆞ이不可ᄒᆞ니言語와文字ᄂᆞᆫ實로此宇宙의
[col 09] 本體를觀ᄒᆞᄂᆞᆫ望遠鏡으로古來聖哲의經傳
[col 10] 이此에由ᄒᆞ야生ᄒᆞ所以니라盖龍潭心法은
[col 11] (大神師之心法)此宇宙本體를直覺ᄒᆞᆫ心法
[col 12] 인ᄃᆡ個人精神이宇宙의精神과通一無二ᄒᆞ
[col 13] 心法으로人乃天의宗旨가是에由ᄒᆞ야出ᄒᆞᆫ
[col 14] 眞諦로다試ᄒᆞ야東經大全을閱컨ᄃᆡ布德文
[col 15] 에曰「不意四月心寒身戰疾不得執症言不
[col 16] 得難狀之際有何仙語忽入耳中驚起探問則
[col 17] 曰勿懼勿恐世人謂我上帝汝不[?]上帝耶[?]
