# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p1l.txt

[title] 滄海居士
[col 02] 介乎。玆。猛進哉。惟我同德
[col 03] 서보노아모조조목其맛하나눈맛보지안이ᄒᆞ려고神仙
[col 04] 術을비오고져ᄒᆞ엿다이ᄯᅢ마츰徐市라爲名하눈道士壹
[col 05] 분이其消息을듯고始皇을차자보앗다始皇은慾心주머
[col 06] 니가一層널버지며이제야말로神仙이되눈구나하고
[col 07] 徐市의말을무엇이든지ᄭᅩ치못게되엿다그려서徐市
[col 08] 노말되되神仙이되랴면蓬萊山에드러가不死藥을求ᄒᆞ
[col 09] 야오지안니ᄒᆞ면안이된다말ᄒᆞ엿다始皇은其말에應ᄒᆞ
[col 10] 야童男童女五百人을徐市의게주어順風掛帆으로蓬萊山
[col 11] 을向ᄒᆞ야ᄯᅥ나게되엿다이小說의갓흔말은支那古代歷
[col 12] 史에두러시실려이서서世上에定論으로되여오게되
[col 13] 엿다우리長生을말ᄒᆞᆯᄯᅢ에눈반다시神仙을聯想ᄒᆞ
[col 14] 게되고神仙을말ᄒᆞᆯᄯᅢ에눈반다시蓬萊山을聯想ᄒᆞ리
[col 15] 만치迷信이되엿다그리고蓬萊山이어듸잇는지仔細
[col 16] 其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보-
[col 17] 於乎。猛進哉。惟我同德
[col 18] 代衆統一帝보아에잇노라보앗다엿다其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보其보-
[col 19] 그틴
