# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[title] 敎理
[col 02] 幾得一條路、步々涉險難、山外更見山、水外更逢水萃
[col 03] 渡水外水催越山外山、纔到野廣處、始覺有大道、若待
[col 04] 春消息、春光終不來、非無春光好、不來卽非時、玆到當
[col 05] 來節不待自然來、春風吹去後、萬木一時知、一日一花
[col 06] 開、二日二花開、三百六十日、三百六十開、一身皆是
[col 07] 花、一世都是春又日
[col 08] 瓶中有仙酒、可活百萬人、釀出千年前、藏之備用處、無
[col 09] 然一開封臭散味亦薄、今玆爲道者、守口如此瓶
[col 10] 五月朔大神師一特히自家에設法ᄒᆞ시고道德의義로써講
[col 11] 道ᄒᆞ시다日
[col 12] 天地陰陽始判后에、百千萬物化해나셔、至愚者禽獸오
[col 13] 尋常者人品이라傳해오는世上말이、天意人心가다ᄒᆞᆫ
[col 14] 고、大定數周易卦爻에、雖測者는鬼神이오、大學에이른
[col 15] 道는、明々其德ᄒᆞ여여나어、至於至善안인ᄭᅡ、中庸에
[col 16] 이른말은、天命之謂性이오、率性之謂道라고誠敬二字
[col 17] 밧희두고、我東方賢人君子、道德君子이름이나、無知
[col 18] 한世上사람、아는바天地라도敬畏之心업서스니、아는
[col 19] 거이무엇이며、天下에上帝님이、玉京臺에계시다ᄒᆞ고、
[col 20] 보는다시말을ᄒᆞ니、陰陽理致始合ᄒᆞ고、虛無之說인줄
[col 21] ᄭᅢ다、漢나라巫蠱事가、我東方에傳해와서、집々이爲
[col 22] [?]、漢나라神仙[?]에、天帝를뵈압고聖壽萬歲를부르니、天帝
