# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 虛世神言
[col 02] 生命은專히運動으로붓터成立ᄒᆞ엿다言은實로金
[col 03] 石갓흔人의物質的生活이間斷업시運動ᄒᆞ과갓지精
[col 04] 命도思想의活動을必要라ᄒᆞ노니人生은本來停滯
[col 05] 이無ᄒᆞᆫ實在이라故로情意無爲는不快를生케ᄒᆞ
[col 06] 고然치못ᄒᆞ면不耐ᄒᆞ노니라
[col 07] 然ᄒᆞᆫ즉此活動的天性을最有益的으로合理的으
[col 08] 로처치ᄒᆞᆯ것이不可ᄒᆞ니吾人의能力은常히使役을
[col 09] 보아其効果를見ᄒᆞ노니라
[col 10] 福藍이라든가製本이라든가如何ᄒᆞᆫ些事賤業
[col 11] 이라도自己의製作을見ᄒᆞᆯ時는非常히愉快를覺ᄒᆞ노니
[col 12] 人은働ᄒᆞ니만치愉快ᄒᆞᆫ것은업나니手藝技工이
[col 13] 라든가美術著作이라든가殊히大哲의才一格을
[col 14] 가진者는其力을發揮ᄒᆞᆯ적마다其氣一天地에
[col 15] 充滿ᄒᆞ고吾有焉者는
