# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_15_p8u.txt

[title] 天道敎會月報
[col 02] 我는임의痕跡도남기지안하고消滅하엿거든합을
[col 03] 며二十年三十年五十年後의我이리오然이나我-我
[col 04] 된所以의者는七年前의我든지今日의我든지全히同一
[col 05] 치인인한가即我의肉體는如斯히無常할지라도我의
[col 06] 靈我의魂은人生의年齡一五十平年을通하며將次百年을
[col 07] 通할지라도依然히永存하니라그리하야我의死後일지
[col 08] 라도我의靈魂는오히려我의肉體의變化를隨하야不滅
[col 09] 하든時와갓치또한永久保存得게될진즉即靈魂不滅
[col 10] 이니라七年前에我는其意味의셔其感覺에셔現
[col 11] 今我의外에保存되야決코消滅지안임과갓치我는死
[col 12] 하야宇宙의大活精에歸하나니此大活精은即我니라過
[col 13] 去의我라云하는者가今-我의胸中에保存되엿스며肥
[col 14] 憶되여自活自覺의感을가짐과갓치只今의我는將來大
[col 15] 活精의中에包容되야永久自活함은是眞理의鐵案이
[col 16] 라할지로다吾人은以上의眞理를下와如히結論하면
[col 17] 一、宇宙는大活精인대物質은그의表顯이니라
[col 18] 二、物質의엇던組織을生類라하며此組織에는大活
[col 19] 精이組織體가되야表顯하나니是를靈魂이라稱함
[col 20] 三、死라함은肉體가物質에歸함은即靈魂이活精에歸
[col 21] 함과갓치水가水에歸함과갓치니라
