# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p2.txt

[section_running] 敎門訂議
[col 02] 의後에天下萬古를向ᄒᆞ야呼ᄒᆞᆫ自覺과自
[col 03] 信은即曰德을天下에布ᄒᆞ리라ᄒᆞ엿도다
[col 04] 大神師ᄂᆞᆫ即德으로써天下를廣濟ᄒᆞ신다宣
[col 05] 告ᄒᆞ엿ᄂᆞ니라
[col 06] 吾人은今에所謂大神師의自信自覺이라
[col 07] 稱ᄒᆞᄂᆞᆫ其者를把來ᄒᆞ야其를理想으로料
[col 08] 理ᄒᆞ고其를事實로解剖ᄒᆞ야보리라大神
[col 09] 師ᄂᆞᆫ當日道人則天道이며德인則天德이
[col 10] 라ᄒᆞ엿ᄂᆞ니然ᄒᆞ면天德은即何德이라
[col 11] 德을但히字義上意昧로부터就看ᄒᆞ면其
[col 12] 義ㅣ甚汎濫ᄒᆞ고其志ㅣ甚히廣活ᄒᆞ야
[col 13] 何等捕捉ᄒᆞᆯ만ᄒᆞᆫ中樞가無ᄒᆞ도다
[col 14] 吾人아昧ᄒᆞ야甘ᄒᆞᆫ者를即砂糖으로知ᄒᆞ
[col 15] 고辛ᄒᆞᆫ者를即細辛으로知ᄒᆞ리라見ᄒᆞ야
[col 16] 高ᄒᆞ者를即山으로知ᄒᆞ고低ᄒᆞ者를即水
[col 17] 로知ᄒᆞ리라如斯ᄒᆞ事實如斯
[col 18] ᄒᆞ經驗속에셔此七尺의肉軀를養ᄒᆞ엿ᄉ
[col 19] 며此方寸의知識을養ᄒᆞ엿도다然ᄒᆞᆫ뒤
[col 20] 這個의肉體這個의知識을抱負ᄒᆞᆫ區ᄒᆞ되
[col 21] 醯의這個의人物의게吾人은即敎ᄒᆞ되
[col 22] 汝ㅣ天德을味ᄒᆞ고天德을見ᄒᆞ라ᄒᆞ면其
[col 23] 果然ㅣ能ᄒᆞᆯ것이인가
[col 24] 만일詳細ᄒᆞᆫ說明을要ᄒᆞᆫ뒤天德은無形ᄒᆞ니
[col 25] 其를適切히敎訓ᄒᆞ되日天德은無形ᄒᆞ니
[col 26] 無形ᄒᆞᆫ心으로써無形히感覺ᄒᆞ라ᄒᆞ자
[col 27] 形은元來ㅣ味ᄒᆞᆯ者아니며見ᄒᆞᆯ者ㅣ아니
[col 28] 니此에何等의方式으로써其要旨를把來
[col 29] ᄒᆞ랴況無形은廣大無量ᄒᆞ야憑實表的
[col 30] 만ᄒᆞᆫ基地가無ᄒᆞᆷ이리오
[col 31] 於是에吾人은默히思ᄒᆞ고靜히考ᄒᆞ다
[col 32] 가約히其要點의幾分을模寫ᄒᆞ엿ᄂᆞ니天下
[col 33] 의天民ㅣ共히其中心의所在를要解ᄒᆞ면
[col 34] 직幸甚ᄒᆞᆯᄲᅮᆫ然ᄒᆞ면其要點은何이뇨
[col 35] 今明總淨凡의下에셔偶히一蠅의翻翔ᄒᆞᆷ
