# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p3.txt

[section_running] 天道敎會月報
[col 02] 思과一致ᄒᆞ야가ᄂᆞᆫ일이로다大神師ᄂᆞᆫ其道詞中ᅳ一節에ᄒᆞ야스되
[col 03] 슬푸다一世의人이各自로爲心ᄒᆞ야天理를不順ᄒᆞ며天命을不顧ᄒᆞ도다人心이危ᄒᆞ고道心이微ᄒᆞ도다
[col 04] 儒道佛道累千年에運이ᄯᅩ한衰ᄒᆞ엿나니아사라이世上은孔孟의德이라도足히擧치못ᄒᆞᆯ지오堯舜의治
[col 05] 라도足히言치못ᄒᆞᆯ지니반듯이傷害ᅳ多ᄒᆞ고運命이大革ᄒᆞᆯ이라
[col 06] ᄒᆞ셧스며ᄯᅩ일너스되
[col 07] 智中에풍은懷抱一時에打破ᄒᆞ고忽然히生覺ᄒᆞ니天運이둘엇도다一天下의變復運數ᅳ다시開闢ᅳ안
[col 08] 일넌가末平濁代ᅳ다서와서世泰民安ᄒᆞᆯ것이라
[col 09] ᄒᆞ셧나니吾人은이儒單한節句의中에서도大神師의이法言이現代的思潮와符節을合ᄒᆞ파갓치ᅳ致
[col 10] ᄒᆞᄂᆞᆫ것이처吴ᄒᆞᆯ지로다吾人은드릿노니남마다ᄯᅩᄯᅩᄯᅩ吾人의耳膜을敲動ᄒᆞᄂᆞᆫ金래
[col 11] 음味ᄒᆞᄂᆞᆫ것이며다갓치이世界의變復을證明ᄒᆞ이안이냐그리고庚申四月五日庚申四月五日은
[col 12] 이제其覺道의要旨쌘드러한말로널이天下에紹介ᄒᆞ노라ᄯᅩᆺ大神師의覺道의日이
[col 13] ᄒᆞ시일너스되「開闢後ᅳ五萬年에내ᄯᅩ한勞할뿐功이업섯나니故로너를世間에生케ᄒᆞ야이法을가라처世上의開闢에일
[col 14] ᄉᆞ의「開闢後ᅳ五萬年이후한말로널이天下에布ᄒᆞᆫ則네ᅳ修煉ᄒᆞ야德을天下에布ᄒᆞᆫ則네ᅳ大神師쎄降話ᄒᆞᆫ말상에일
[col 15] 의道로써막기나니너一修煉ᄒᆞ야德을天下에布ᄒᆞᆫ則네鬼神이라ᄒᆞᆷ도내니라ᄒᆞ셧나니그러면
[col 16] 大神師ᄂᆞᆫ五萬年以來新開闢人物로自信ᄒᆞᆫ바이며明白ᄒᆞ고그리ᄒᆞ야布德天下廣濟蒼生의
[col 17] 體ᄒᆞ시사忽然히天地神明이되야萬古에不生不滅ᄒᆞ리라自覺ᄒᆞ셧도다그런대ᄶᅢ에한가지注意ᄒᆞᆯ一事ᄂᆞᆫ卽
[col 18] 大神師의이론바上帝라ᄒᆞᆷ은곳億兆의靈性을가라처이름이오人格的上帝를말ᄒᆞᆫ것이안임이是라안이人格
[col 19] 의上帝라ᄒᆞ면卽우리사람을가라쳐말ᄒᆞᆫ것일지라이에對ᄒᆞ야大神師ᅳ말삼ᄒᆞ사되「無知ᄒᆞᆫ너이여아ᄂᆞᆫ
[col 20] 바天地로되.敬畏ᄒᆞᆯ곳을몰나스니아ᄂᆞᆫ것이무엇이뇨可憐타너이는上帝를犬上에서求코저ᄒᆞ나니
[col 21] 澤가안이나ᄯᅡ마서너이는鬼神을木에求ᄒᆞ며石에求ᄒᆞ며名色에서求ᄒᆞ려ᄒᆞ도다너의ᄂᆞᆫ天地亦
[col 22] 五
