# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_9_p5u.txt

[title] 敎理部
[col 02] 以上은吾人이此世에서必要를應ᄒᆞ야發達
[col 03] ᄒᆞᆫ所謂現象識이니此現象識은實로現在人
[col 04] 格을構成ᄒᆞᆫ要素라普通人類의共通識이며
[col 05] 吾人의日常使用처아니ᄒᆞ는心理現象은如
[col 06] 左ᄒᆞᆷ
[col 07] (一)靈識
[col 08] (二)神識總稱神識이라ᄒᆞᆷ
[col 09] 以上은吾人이通常히使用처아니ᄒᆞ는間에
[col 10] 神秘的으로自存自秘ᄒᆞ얏스니所謂靈神識
[col 11] 이라此神識은實로吾人의現在以上의造化
[col 12] 力을發現케ᄒᆞ는動機니라
[col 13] 普通狀態에在ᄒᆞ야는何故로神識이發現치
[col 14] 아니ᄒᆞ는고ᄒᆞ면此는吾人이日常使用ᄒᆞ는
[col 15] 現象識이神識을弊ᄒᆞ야暫時도發現의動機
[col 16] 를未得ᄒᆞᆷ으로永久히自存的으로現象識背
[col 17] 後에潛在ᄒᆞ얏느니是가卽普通人으로써는
