# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_9_p5u.txt

[title] 天道敎會月報
[col 02] 두거름晉州市街
[col 03] 名勝인晉州公園
[col 04] 意外이다意外라
[col 05] 云意外는얼슬거
[col 06] 니와南州의佳麗이다
[col 07] 平吞々々一智異山
[col 08] 金精玉髓갓치香
[col 09] 프러廣野를展開
[col 10] 西將臺라이름하
[col 11] 이웃둑솟아잇고
[col 12] 鳳山에서發하야
[col 13] 벅晉州南江이되
[col 14] 워에지고南江을
[col 15] 외市街는實로乙
[col 16] 大同江을압해노
[col 17] 치못지아니하다西
[col 18] 州公園이잇고公
[col 19] 有名한矗石樓가
[col 20] 며矗石樓아래는
[col 21] 行을말할것업시晉州에오기가其目
[col 22] 的이엇스며晉州에오게된目的은
[col 23] 天道敎의布德天下를爲하야慶南의
[col 24] 都會되는晉州에서天道敎宣傳을
[col 25] 하려함이다晉州의靑年이야말로
[col 26] 우리敎의模範的靑年이다각각은
[col 27] 年齡각각은마음각각은活動각
[col 28] 각은信仰으로우리敎의前途를爲
[col 29] 하야獻身하는것을볼때에나는限
[col 30] 定업는누김이龍源의물갓치솟아
[col 31] 낫다
[col 32] 六
[col 33] 晉州靑年의뜨거운愛情속에못치
[col 34] 잇는이몸은別달리山川求景할생
[col 35] 각도나지안이한다그러나人傑은
[col 36] 地靈이라하니어갓치氣槪높은靑年
[col 37] 이만히난이晉州는사마서山川의
[col 38] 美도적지아니하리라獨斷한것은
[col 39] 내의미리못할預想한바이것다兄
[col 40] 운답답하며아우는편벽되여서만약
