folder,pages,series,slug,tonggwon,publish_date,title,author,verdict,note
076_東經_1912-08,3,76,076_東經_1912-08,25,1912-08-15,東經大全要旨講解(續),李敦化,편,
077_靈通1_1912-10,8,77,077_靈通1_1912-10,27,1912-10-15,靈通力이 事實됨을 解明言,李敦化,편,
078_靈性_1913-04,4,78,078_靈性_1913-04,33,1913-04-15,靈性的 生活,李敦化,편,
079_大神2_1918-08,4,79,079_大神2_1918-08,96,1918-08-15,大神師性靈出世說(其二),李敦化,편,
080_大神3_1918-09,3,80,080_大神3_1918-09,97,1918-09-15,大神師性靈出世說(其三),李敦化,편,
081_大神4_1918-10,4,81,081_大神4_1918-10,98,1918-10-15,大神師性靈出世說(其四),李敦化,편,
082_大神5_1918-11,3,82,082_大神5_1918-11,99,1918-11-15,大神師性靈出世說(其五),李敦化,편,
083_現代_1920-03,7,83,083_現代_1920-03,115,1920-03-15,現代思潮와 事人如天主義,李敦化,편,
084_年齡_1920-12,7,84,084_年齡_1920-12,124,1920-12-15,年齡論,李敦化,편,
085_사람性_1921-04,6,85,085_사람性_1921-04,128,1921-04-15,사람性의 無窮을 論하노라,李敦化,편,
086_우리_1921-11,6,86,086_우리_1921-11,135,1921-11-15,"우리時代의 創造事業, 目下의 急先務를 提案함",李敦化,편,
CNTS-00048033199,3,01,001_勸誘_1911-01,,,(NL) 勸유天下失樂者,,편,
CNTS-00048033772,4,05,005_觀感_1911-08,,,(NL) 觀感說,,편,
CNTS-00048033811,4,08,008_因果_1911-11,,,(NL) 因果的神案,,편,
CNTS-00048033844,6,11,011_死後_1912-02,19,1912-02-15,死後問題,李敦化,편,
CNTS-00048033855,6,12,012_我觀_1912-03,20,1912-03-15,我觀人生,李敦化,편,
CNTS-00048033863,4,13,013_宇宙_1912-04,21,1912-04-15,宇宙說,李敦化,편,
CNTS-00048033911,3,,,,,(NL) 東經大全要旨講解(續),,중복,지면이 바이트 단위로 같다 → 076_東經_1912-08
CNTS-00048033953,5,18,018_靈通_1912-12,29,1912-12-15,靈通力의 事實됨을 解明言(續),李敦化,편,
CNTS-00048037653,3,38,038_新年_1918-01,90,1918-01-15,新年과 人生,李敦化,편,
CNTS-00048037658,4,88,088_우리_1918-01,90,1918-01-15,우리ᄂᆞᆫ 무슨 필요로 도를 닥는가,夜雷,편,
CNTS-00048037666,3,89,089_枕上_1918-02,91,1918-02-15,枕上雜感,夜雷,편,
CNTS-00048037679,5,,,,,(NL) [天道敎會月報 第九十三號] 敎理部 : 偉大ᄒᆞᆫ心의世界,,편외,🔴 목차와 지면이 어긋난 자리다. 영인본 목차는 통93 敎理部에 「偉大ᄒᆞᆫ 心의 世界 / 劉載豊 / 15쪽」과 「神平河善論 / 李敦化 / 16
CNTS-00048037691,5,41,041_兩道_1918-05,94,1918-05-15,兩道師巡回와 關北敎友,李敦化,편,
CNTS-00048037693,5,127,127_偉大_1918-05,94,1918-05-15,偉大ᄒᆞᆫ 心의 世界 其二,滄海居士,편,
CNTS-00048037717,5,94,094_宗敎_1918-08,96,1918-08-15,宗敎的修養과 處世方法(其二),夜雷,편,
CNTS-00048037723,4,,,,,(NL) [天道敎會月報 第九十八號] 敎理部 : 大神性性靈出世說. 其4,,중복,지면이 바이트 단위로 같다 → 081_大神4_1918-10
CNTS-00048037726,5,130,130_任筆_1918-10,98,1918-10-15,任筆錄(其六),滄海居士,편,
CNTS-00048037734,5,97,097_信仰_1918-11,99,1918-11-15,信仰性과 社會性,夜雷,편,
CNTS-00048037751,5,44,044_百號_1918-12,100,1918-12-18,百號紀念에 對ᄒᆞᆫ 余의 感想,李敦化,편,
CNTS-00048037771,5,45,045_新年_1919-01,101,1919-01-15,新年元旦,李敦化,편,
CNTS-00048037772,4,99,099_信仰_1919-01,101,1919-01-15,信仰性과 社會性(續),夜雷,편,
CNTS-00048037784,6,134,134_蓬萊_1919-02,102,1919-02-15,蓬萊山(其一),滄海居士,편,
CNTS-00048037792,8,101,101_將來_1919-03,103,1919-03-15,將來의 宗敎(續),夜雷,편,
CNTS-00048037801,4,136,136_余告_1919-04,104,1919-04-15,余의 告白,白頭山人,편,
CNTS-00048037809,5,103,103_將來_1919-05,105,1919-05-15,將來의 宗敎(其三),夜雷,편,
CNTS-00048037816,5,140,140_月尾_1919-06,106,1919-06-15,月尾島의 春色,滄海居士,편,
CNTS-00048037824,5,51,051_愛開_1919-07,107,1919-07-15,愛의 開放,李敦化,편,
CNTS-00048037826,4,138,138_處世_1919-05,105,1919-05-15,處世神言,白頭山人,편,
CNTS-00048037827,4,142,142_體的_1919-07,107,1919-07-15,體的倫理,滄海居士,편,
CNTS-00048037837,6,52,052_自覺_1919-09,109,1919-09-15,自覺ᄒᆞ야써 其根에 歸ᄒᆞ라,李敦化,편,
CNTS-00048037838,4,106,106_自力_1919-09,109,1919-09-15,自力的敎化,夜雷,편,
CNTS-00048037846,5,53,053_今日_1919-10,110,1919-10-15,今日以後의 宗敎,李敦化,편,
CNTS-00048037847,4,145,145_略史_1919-10,110,1919-10-15,略史及敎理(其三),白頭山人,편,
CNTS-00048037861,4,147,147_活動_1919-11,111,1919-11-15,活動主義의 道德,滄海居士,편,
CNTS-00048037878,3,148,148_略史_1919-12,112,1919-12-15,略史及敎理,白頭山人,편,
CNTS-00048037891,3,150,150_略史_1920-01,113,1920-01-15,略史及敎理,白頭山人,편,
CNTS-00048037914,3,153,153_略史_1920-03,115,1920-03-15,略史及敎理,白頭山人,편,
CNTS-00048037930,5,59,059_哲人_1920-05,117,1920-05-15,哲人主義의 將來와 新宗敎의 價値,李敦化,편,
CNTS-00048037937,8,114,114_水陸_1920-05,117,1920-05-15,水陸三千里,夜雷,편,
CNTS-00048037958,4,116,116_本報_1920-08,120,1920-08-15,本報의 三界,夜雷,편,
CNTS-00048037962,8,63,063_法門_1920-09,121,1920-09-15,오로지 法門에 依信하라,李敦化,편,
CNTS-00048037963,2,117,117_呪文_1920-09,121,1920-09-15,呪文의 哲學的 意義,夜雷,편,
CNTS-00048037974,5,64,064_布德_1920-10,122,1920-10-15,布德天下는 活誠에 在하니라,李敦化,편,
