# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎理部
[col 02] 아처음으로人의人된高ᄒᆞᆫ性質을表ᄒᆞ는것이라天地
[col 03] 를疑ᄒᆞ며萬物을不可思議로視ᄒᆞᆷ은是畢竟ᅵ人生의價
[col 04] 値이다그리ᄒᆞ야一度疑ᄒᆞ며짜라서如何ᄒᆞᆫ人일지라도宇宙
[col 05] 不止ᄒᆞ면서一層高尙ᄒᆞ며以上은其를解決치안ᄂᆞᆫᄒᆞᆫ
[col 06] 의根底를善意라信치안이ᄒᆞᆫ者는업스리라
[col 07] 善人도善을知ᄒᆞ며惡人도쏘ᄒᆞᆫ自己의惡을知ᄒᆞᆯ것이다
[col 08] 人性도善ᄒᆞ고天地의根底도쏘ᄒᆞᆫ善ᄒᆞᆫ故일것이다
[col 09] 科學者는物理法則에依ᄒᆞ야人間의一切의物質도ᄯᅩᄒᆞᆫ
[col 10] 는者는업다ᄒᆞᆯ다是點에쇠人間의生命도ᄯᅩᄒᆞᆫ無窮이라ᄒᆞ
[col 11] 치안이치못ᄒᆞᆫᄃᆞ如斯히統一이有ᄒᆞᆫ宇宙의根本은
[col 12] 滅이라ᄒᆞᆷ치안임이不可ᄒᆞ다안이自明ᄒᆞᆫ理일다
[col 13] 然ᄒᆞ면宇宙의根本은果然意識이랴否이라ᄒᆞᆷ은哲學
[col 14] 上大問題이라然이나見ᄒᆞ라森羅萬象이雜然히散在ᄒᆞᆫ
[col 15] 中에도스서로條理燦然ᄒᆞ야一系不亂의規則이流行ᄒᆞᆷ이
[col 16] 안인가人이知치못ᄒᆞ는最小ᄒᆞᆫ一葉의草花일지라도決
[col 17] 코忘치안이ᄒᆞ고此를成長케ᄒᆞ며此를發達케ᄒᆞᆷ을思ᄒᆞᆯ時
[col 18] 는如何히宇宙의根本은意識임을可知ᄒᆞᆯ지니이곳神이
[col 19] 이곳宇宙의大意識이니라
[col 20] 神은不滅的이며統一的이다善人의記憶은何時에든지
