# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_2_p2.txt

[section_running] 天道敎會月報
[col 02] 然한대十九世紀의半에至하야는形勢ㅣ一變하야昔日被支配者ㅣ되든商工資産階級은
[col 03] 되는地位를獲得하야이른바資本主義가世界市場을獨占케되엿도다然한대今日에在하야는
[col 04] 自由를要求하든商工資産의階級이更히第四階級ㅣ卽今日의勞働階級의게其要求를밧게되엿나니
[col 05] 明進步의結果가아일것이나今日世界를通하야唯一의大問題되는이른바勞働問題는眞是多數人民의經濟的
[col 06] 自由要求에不外한것이니換言하면衣食住의解放을徹底코자함에不外하도다
[col 07] 昔者ㅣ耶蘇는일너스되人은「麵包섇으로만生하는者아니라」하엿나니思컨대이눈人間生活은禽獸갓ㅎ다
[col 08] 이食慾에滿足하안이하고麵包以上의或物을獲得한後에야人生의眞意味를알니라云한것이안이겟나냐然하
[col 09] 면麵包以上의或物은무엇이랴이곳麵包의平均分配를意味한것일지로다萬若ㅣ이世界로붓허麵包의不平
[col 10] 均이生하야一方으로金衣玉食의飽死者가잇슴과同時에他一方에飢하야死하는者가出케되에잇섯지
[col 11] 仁人君子의默視할바이랴故로耶蘇는麵包를自己의神化로製造하야徒弟의게平均分配한일도잇섯다하나니
[col 12] 이러한觀念은다만耶蘇에限하야이슬것이오政治의究極目的도生각하면이에이슬것이오宗敎道德
[col 13] 倫理의究竟目的도또한이에이슬지로다
[col 14] 海月神師ㅣ일즉徒弟의게일삼에일너스되萬事는오즉「食一碗」이라하섯도다이를耶蘇의言에比較對
[col 15] 照하면甚히朱泥霄壤의判이잇도다前者는「人은麵包섇으로生하는者안이라」하엿고後者는「食一碗」으로써
[col 16] 萬事가된다하섯스니얼는생각하면耶蘇의言은精神的인듯하고神師의言은食慾的인듯하도다然하나
[col 17] 兩者의究極解釋에이르러는同一한結果에落着할지로다卽耶蘇의言은精神으로붓허物質을論한것이오神師
[col 18] 의言은物質로붓허精神을論及한것이로다
[col 19] 卽神師는靈肉一致의點으로붓허徒弟의齋詗한一節에일너스되
[col 20] 丁酉十月에神師ㅣ食告의義로써反히萬物의中에居하신지라故로萬物의精은곳天이니라然한대
[col 21] 天은萬物을造하시고物을不賤하며세生각한것이도다萬物中最靈한者ㅣ人
