# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_4_p4.txt

[section_running] 天道敎會月報
[col 02] 放棄求치안이함이不可하니是吾人으로內部修養을絕따하는所以로다
[col 03] 大槪一個人이나社會를勿論하고個人에對하야는自然人卽身體와其에附屬한諸
[col 04] 象은外人에屬함이오精神的人格卽心法과其附屬한諸般現象은內人에屬함이라故로古人이일♀스되
[col 05] 人은朽敗하나內人은날로새롭다하엿나니吾人은참으로內人의修養에目的을達치못하고보면外人의形
[col 06] 式섹지도또한故良의途가遼遠하다할지로다
[col 07] 然한대吾等의身體卽外人이엇더한關係卽疾病의侵凌成은罪의拘束으로붓허束縛을受할까갓치吾等의內
[col 08] 人에도또한此束縛의增遇를免치못하나니故로自己것허救濟치안이함이不可하도다
[col 09] 原來ㅣ內人이라함은이곳無形의人이라그림으로其의束縛도또한無形한拘束일지로다
[col 10] 若椒中에서生한虫은椒의苦를아지못하며甘草中에서長한虫은草의甘올아지못함과共히生來ㅣ拘束의中
[col 11] 自己의精神束縛을아지못하고그대로一生을苦惱의中으로지내보냄도또한不得己한者일지로다
[col 12] 에서生하고長한人은自己가精神的束縛의中에잇슴을아지못하는故로是非의辨別을混亂하고曖昧
[col 13] 曲直의左右를判斷치못하는것이라그리하야其因襲이習慣을成함으로써一生ㅣ解脫의境涯를達치못하고
[col 14] 의街頭에徘徊彷徨케되는것이로다
[next] 
[col 16] 英國大哲째ㅣ끈은일즉嚴窟偶像으로써人의最大病痛이라하엿나니嚴窟偶像이라함은卽人이慣習에拘束됨
[col 17] 이嚴窟에被囚한仙人파갓치金허外界의事에瞎昧하야解脫의妙境을아지못한다함이라果然하다人의精神
[col 18] 的東縛中에는實로麗習에拘泥하야卑劣且固陋한者ㅣ업스리라그리하야其는宗敎上信仰에더욱其
[col 19] 甚가激烈하나니一宗敎가他一宗敎를對하고이로써異端이라하며邪敎라稱함은다갓치이嚴窟偶像에각
[col 20] 진所以가안인것이나亞剌伯士人이土鏡으로製造한佛像을恒常懷中에간직하고旅行中에서異敎
[col 21] 五
