chapter_1915,C01-S01,C01-S02,C02-S01,C02-S02,C03-S01,C03-S02,C03-S03,C03-S04,C04-S01,C04-S02,C04-S03,C05-S01,C05-S02,C05-S03,C05-S04,C05-S05,C05-S06,C05-S07,C06-S01,C06-S02,C06-S03,C06-S04,C06-S05,C06-S06,C06-S07
C00,0.016903614667828203,0.009172152211105707,0.004787537785158495,0.016304347826086956,0.0,0.0016142050040355124,0.0033571009466665832,0.00395855659786395,0.0016382640737892071,0.005133117382139193,0.0040272652789613205,0.007528460206379456,0.00186219739292365,0.0,0.0020382063267701564,0.0020153457653457655,0.002953930424457186,0.001593063117564025,0.007735073871508864,0.0031847133757961785,0.011885175756143498,0.004641533330057921,0.0031099517898217606,0.009216054242793979,0.005357080011576116
C01,0.010725454424694929,0.0111258990655831,0.00699872768544686,0.009463865383423708,0.005603392908602892,0.002699040839121296,0.004073684384200858,0.0051233676609280625,0.003361657998399848,0.006333521832506949,0.005605558467120164,0.007957168035027854,0.003655067297764215,0.002696246392932662,0.002782501815427463,0.0021944834394727664,0.0034725127270121567,0.005837112189254121,0.006616468165632687,0.00633835831418086,0.00790229939895123,0.006334422631035565,0.006319718540366328,0.0036824852489940755,0.006184293823908454
C02,0.009003185607163294,0.00754665676559807,0.008280834015537976,0.007876108039471384,0.007130985489849689,0.003510015264261559,0.004502124080725947,0.00892770881091514,0.004945546069385322,0.006025216673483721,0.004269625622223175,0.004961731784740288,0.00437278381202815,0.004952942916975386,0.0034704457201473514,0.001566254693932708,0.0032324314466861976,0.006424132896832321,0.004242284123008474,0.006287594077242351,0.005393115765885987,0.004866261907603256,0.004348614329925789,0.003719676819339922,0.006056112347342438
C03,0.00953887972477434,0.008382644373293705,0.007672325902054483,0.008170610679313186,0.004452260160868089,0.0028005202640738,0.004623388518553586,0.00772032981470184,0.006475009598229962,0.006802319467750363,0.006006324223093377,0.005171918320452045,0.005723532473858782,0.005072163067418799,0.003511177170595004,0.0020217746006209415,0.003592438137263557,0.00875304127397171,0.007743501785701398,0.009926071719221986,0.013417433417908652,0.007731380506536002,0.0051843468967781485,0.0036914483628441015,0.009307649008425812
C04,0.007723407148136685,0.007323638138715472,0.00566557582108428,0.006141589243169337,0.0037019798329780444,0.002006465575826648,0.0049876888408145635,0.007513985383747876,0.006366856925094969,0.006058161434785676,0.0047865972259678174,0.004198762314832949,0.006608206267414136,0.003668263143789485,0.0037642679829202465,0.0023751326672443087,0.004456507856944361,0.007072239744294483,0.004001637603554349,0.006833432443286469,0.009471631368941379,0.006475820028922226,0.006301290053866142,0.002656379786274263,0.008914368224620451
C05,0.0078010434930774215,0.006966355273198264,0.006765876881002571,0.006711304767022075,0.005508511540530355,0.0020021949310148725,0.00576070147159908,0.008769303482487409,0.006486651458977407,0.007124686883662778,0.005468377350377927,0.00570031396333976,0.007257570795188772,0.004928258006196514,0.003118206549016001,0.003955888722923906,0.004385892097272092,0.0066526433265742925,0.007557673485396049,0.009989770687535341,0.008675363015978516,0.007944809970894301,0.006371452685609046,0.004370542306671153,0.009055987549515084
C06,0.004815664925585483,0.0053551811981674855,0.007631500274273612,0.004387380264598855,0.0024881043187679345,0.001620690758679652,0.004336112108111711,0.012445611761241922,0.004907731144733031,0.006200901613741239,0.004992460645276844,0.005506866610590679,0.006129014449947528,0.004322375586414041,0.0020178968854358483,0.0033066771431907375,0.004045983971963162,0.00825138783376754,0.003110193169667749,0.007916434995554078,0.007018040797399779,0.004192368581506245,0.005889189440438782,0.0031187753060462507,0.008348277559582545
C07,0.010828820660297734,0.008262379637147814,0.007236494788082543,0.009170642487881556,0.002771320567251399,0.0024939943767278245,0.005110844813262665,0.008880497396887751,0.004515705010227341,0.007731237806967416,0.006068093070650137,0.005323333369200921,0.005272120998902575,0.00458357326351986,0.002644422244821437,0.0036161671174490266,0.004555285125946267,0.007111848153026036,0.009052648375673765,0.011507096632602043,0.007956059848737904,0.007536019984574388,0.006164549782636371,0.002781564715417589,0.00760623372423414
C08,0.011586353598772829,0.008269936203296906,0.005240144097089722,0.007275890946767666,0.004155608614470616,0.002687027258017381,0.004743232162282747,0.006554952535117771,0.0048887696418273285,0.007613112032285795,0.005939644800731544,0.006815590644684327,0.00430866251692688,0.0026216053052987294,0.0030172457992773,0.00272966431838074,0.004410595902786282,0.006568263801821272,0.006890289768244769,0.00621064522607388,0.0074761171173146354,0.006984567303092455,0.00829460120772518,0.004097918133424221,0.007441882827263712
C09,0.00859442885455527,0.007605470255345856,0.006342856237415104,0.006553150258544024,0.004048460500073403,0.0043976826329002105,0.0036088683565631816,0.0042172238853722165,0.0036462497315810295,0.005214077382185429,0.0043847575728677875,0.0056478858767744205,0.0032209997066921896,0.002687209577674526,0.003291286186413098,0.0012808350098709922,0.0030626254166654055,0.00711243080470995,0.00396151063758999,0.003536328294126976,0.006400494088205156,0.004642636243130044,0.004490813232375355,0.0028097794319651755,0.006127717020458827
C10,0.008728908809017947,0.0069356538707409585,0.010877902975472364,0.008646547829249503,0.009664577827922904,0.002740493707767648,0.0063909064582861,0.006844155599974168,0.0041962851643066665,0.006156932149045011,0.002758649943598519,0.005586740941613873,0.0030574281440968673,0.007617264002423552,0.002420408678980555,0.0020793870418740743,0.005056378782830687,0.007225404476738562,0.005455723422904736,0.002274971190785794,0.007433918771585718,0.0027645496875284624,0.004307178735939556,0.0032826169209276457,0.006076069721934985
C11,0.009289982915961496,0.008359886473290133,0.0037689141919532007,0.00432656756593906,0.0006464124111182935,0.002384884408908668,0.0017431985036665877,0.003336684032258819,0.0027268888217420436,0.005314112643955231,0.004125244505018053,0.0037572950318962737,0.002224241216717944,0.0010945856106684844,0.002797916477025803,0.0014058803810471714,0.003177503580202013,0.003737962881946486,0.005547183916870953,0.0036749596364034293,0.003737380626745795,0.0059809431521990275,0.0035834815575801486,0.005819692567949719,0.005664037674281992
C12,0.009150445366018323,0.006892722559879682,0.005456174022530511,0.007884416286493575,0.0028505407184813,0.0028939488829840157,0.0036741446687727935,0.0033670104716717257,0.004500681606303254,0.00485427523881211,0.00331063404131639,0.006817105582961386,0.004295992735501638,0.0019516441778602844,0.0025412871511392636,0.0015544740975154405,0.003089038284074975,0.006079729342785351,0.003403431208920165,0.003294413792869887,0.0046609199661821425,0.0056904136734766166,0.0045226774221994205,0.009078200440435056,0.005011195664166841
