# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 最後宗教의 大性無量光
[col 02] 講演
[col 03] 春의末—夏의初—楊柳의風은天地和氣의橐을開放ᄒᆞ고
[col 04] 薔薇의香은宇宙神秘의咳를吐ᄒᆞ도다一位尋道浪人이문
[col 05] 득余寓를訪ᄒᆞ야寒暄을畢ᄒᆞᆫ後—說往說來—中에實로真
[col 06] 理의中樞를露骨的으로擺脫ᄒᆞ야不少ᄒᆞ니라左의記는一
[col 07] 篇論文은實로其中에一主辭인즉敎門劈頭에記ᄒᆞ야써記
[col 08] 者의意見을讀者諸位의前에提供코져ᄒᆞ노라
[col 09] 客—曰余—君의言을聞ᄒᆞ고多少覺悟ᄒᆞᆫ바有ᄒᆞ노라그
[col 10] 러나아즉數年—獨工에依지ᄒᆞ얏보다도더히大효効力을得치못
[col 11] ᄒᆞ얏나니나의心裏에눈아직도未解決의大疑問이伏在
[col 12] ᄒᆞ얏노니是等大疑問은思思自自家胷中의未徹底思想
[col 13] 으로부더來ᄒᆞᆫ者—아니랴
[col 14] 然ᄒᆞᆫ즉玆에質疑ᄒᆞᆯ만ᄒᆞᆫ一條는卽—他아니라만일宇宙
[col 15] 의間에神靈的上帝가有ᄒᆞ야一切의智慧를有ᄒᆞ며慈悲無
