# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 混沌으로나와混沌에돌
[col 02] 天道敎會月報
[col 03] 一
[col 04] 意識問題는哲學上一研究外題目으로數百多幾千學者의腦漿을絞ᄒᆞ엿섯다然이나아즉도未解決의遺題로吾人의興味를促進케됨은哲學이吾人의外界與ᄒᆞ는一大神秘의抱負를가젓다ᄒᆞ리라
[col 05] 그렁으로意識이라ᄒᆞ면문득吾人의耳膜에非常한刺戟을與케되나니이제本問題를研究ᄒᆞ는準備로먼저無意識이라云ᄒᆞ하는其者의性質을略述ᄒᆞ리라
[col 06] 抑意識이라ᄒᆞ는者는各個人의生活狀態와伴起ᄒᆞ는必然의條件인대意識이無ᄒᆞ면吾人은自覺도업슬뿐
[col 07] 이라意識이업스면吾人은아모것도分別ᄒᆞᆯ것이업고意識以外에別로世界가업고意識以外에別로宇宙가업는것이다如何튼지吾人은意識을가지고살며意識을가지고活動ᄒᆞ는것이다그럼意識이업는世界는混沌世界일뿐이다混沌으로
[col 08] 부터意識이업는世界는混沌으로돌아가고混沌으로나온意識은混沌으로돌아가는것이다그럼意識은混沌의化身인가混沌의表現인가混沌의作用인가混沌의本體인가混沌의屬性인가混沌의現象인가混沌의內容인가混沌의形式인가混沌의分子인가混沌의原子인가
[col 09] 混沌의電子인가混沌의能力인가混沌의權威인가混沌의生命인가混沌의智識인가混沌의道德인가混沌의進化인가混沌의向上인가混沌의創造인가混沌의意志인가混沌의感情인가混沌의感覺인가混沌의表象인가混沌의觀念인가混沌의思想인가混沌의理想인가
[col 10] 混沌의趣味인가混沌의藝術인가混沌의宗敎인가混沌의哲學인가混沌의科學인가混沌의眞理인가混沌의善인가混沌의美인가混沌의聖인가混沌의向上인가混沌의光明인가混沌의幸福인가混沌의平和인가混沌의自由인가混沌의平等인가混沌의統一인가
[col 11] 混沌의秩序인가混沌의權力인가混沌의勢力인가混沌의富인가混沌의貴인가混沌의名譽인가混沌의成功인가混沌의勝利인가混沌의滿足인가混沌의歡喜인가混沌의希望인가混沌의努力인가混沌의勇氣인가混沌의忍耐인가混沌의決心인가混沌의實行인가
[col 12] 混沌의活動인가混沌의健康인가混沌의發達인가混沌의向上인가混沌의創造인가混沌의進化인가混沌의向上인가混沌의光明인가混沌의幸福인가混沌의平和인가混沌의自由인가混沌의平等인가混沌의統一인가混沌의秩序인가混沌의權力인가混沌의勢力인가
