# gemini — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[title] 敎理部
[col 02] 以貫之의要点이包容摠括ᄒᆞᆫ大宗旨이니故로
[col 03] 吾敎ᄂᆞᆫ本然性의로骨子을삼고心靈活用으
[col 04] 로血脈을삼으며肉身保護로外形을삼앗도
[col 05] 다聖師ᄭᅴ셔常言ᄒᆞ시되以身換性ᄒᆞ라ᄒᆞ시
[col 06] 니是ᄂᆞᆫ吾敎의骨子된本然性에自心을歸
[col 07] 宿케ᄒᆞᆫ一大眞諦니嗚呼라修養의極端이
[col 08] 此의止ᄒᆞ얏도다然이나世華는慾界며人情
[col 09] 은邪道라五官의誘와百體의慾이性天本來
[col 10] 의光明을蔽ᄒᆞ야遼吾人으로ᄒᆞ야곰山魑野
[col 11] 魅에窟에陷케ᄒᆞ도다聖師此를慨嘆ᄒᆞ사
[col 12] 一詩로써世를警喩ᄒᆞ시니曰「一片月上東、
[col 13] 幾家人登樓、野花千萬枝、遊客忘歸家」라
[col 14] ᄒᆞ시니一片의月은吾敎의淵明을指ᄒᆞ심이
[col 15] 오登樓의人은卽吾敎를바라性天本來의眞
[col 16] 風光을憧憬ᄒᆞᄂᆞᆫ意味인뎌幾個人이나能히
[col 17] 此를諦得ᄒᆞ얏는지嗟嘆ᄒᆞ심이오野花千萬
