# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_5_p3u.txt

[section] 敎理部
[col 02] 異ᄒᆞ도다人도亦然ᄒᆞ야善焉惡焉能力焉始
[col 03] 終焉이豈其人之本性이리오一落物境에聞
[col 04] 見也異來歷也異被動也異ᄒᆞ故니究其本原
[col 05] 이면純然之天也오又其能力論之라도人之
[col 06] 能力이卽天之能力이로되物質觀念이天人
[col 07] 兩間에大塵障을成ᄒᆞ야天界가不通人界ᄒᆞ
[col 08] 며人界가不通天界故로運用也乏ᄒᆞ야天藏
[col 09] 造化而以待其人ᄒᆞ며人無能力而苦苦笑啼
[col 10] ᄒᆞ니人自取之有限이오其實則純然之天也
[col 11] 며有始有終無始無終은此乃肉眼的區別
[col 12] 이니何者오近以一例擧之면我之百年間之
[col 13] 死生이古人謂之亦大나此百年之間에不知
[col 14] 幾十我之去來ᄒᆞ나니觀夫實驗生理之說컨
[col 15] 디人之肉身物質組織之變化가以七年爲度
[col 16] ᄒᆞ니七年前之我肉身과七年後之我肉身은
[col 17] 全然히異物이라然則七年前之思想考慮를
