# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_7_p4u.txt

[section] 敎理部
[col 02] 가新舊宗敎의運替의第一機會이며
[col 03] 乙、個人의信解와敎會信條가互相矛盾ᄒᆞᄂᆞᆫ事
[col 04] 來其信條가儼然히天啓와如히信徒의間에思考ᄒᆞᄂᆞᆫ
[col 05] 信條ᄂᆞᆫ其信條가進化今日의人心行爲와到底相和치못ᄒᆞᆯ理解
[col 06] 敎會의管理者일지라도其行爲와信條ᄂᆞᆫ不知不識間相違
[col 07] ᄒᆞ點이屢生ᄒᆞ야局外者에生ᄒᆞᆫ其嫌隙을窺케될ᄲᆞᆫ안이오
[col 08] 가有ᄒᆞᆷ으로個人의信解에疑懼가生ᄒᆞᄂᆞᆫ即如何ᄒᆞ
[col 09] 敎會自己도亦是多少의懷疑가無치안ᄂᆞᆫ此
[col 10] ᄂᆞᆫ時勢의所使이며運勢의所然이라此ᄂᆞᆫ個人의信解와敎
[col 11] 會信條가互相矛盾ᄒᆞᄂᆞᆫ新舊宗敎運替의第二機會이며
[col 12] 乙、敎俗兩者間의衝突 由來宗敎ᄂᆞᆫ大槪敎俗의區別이
[col 13] 甚ᄒᆞ야敎ᄂᆞᆫ俗을觀ᄒᆞ되天罰의預證者로知ᄒᆞ며俗은敎ᄅᆞᆯ
[col 14] 觀ᄒᆞ야迷信의宣傳者로惡評ᄒᆞ야這間에多數原因이隱然히一大
[col 15] 敎團의感이生ᄒᆞ엿스나大體ᄂᆞᆫ敎俗의時運差違의觀念에生ᄒᆞ者이니
[col 16] 在ᄒᆞ엿스나大體ᄂᆞᆫ敎俗의時運差違의觀念에生ᄒᆞ者이니伏
[col 17] 前者ᄂᆞᆫ아쥭古風的彼岸을憧憬ᄒᆞ에不拘ᄒᆞ고後者ᄂᆞᆫ知新
[col 18] 의時運에沉流不息ᄒᆞ에서生ᄒᆞᄂᆞᆫ바니是가敎俗兩者의衝突
[col 19] 되ᄂᆞᆫ新舊宗敎運替의第三機會이엿섯다
[col 20] 化에吾人은告白ᄒᆞ노라信仰界에對ᄒᆞ變遷을哲學은如何
