# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_1_p1u.txt

[title] 將來의宗敎(其三)
[section] 一、由來宗敎의成立及其種類
[col 03] 宗敎의本性은
[col 04] 敎를考察ᄒᆞ며
[col 05] 을閱覽ᄒᆞᆫ後가아니면
[col 06] 及發達의點에對ᄒᆞ야ᄂᆞᆫ
[col 07] 其히異ᄒᆞᆷ에不拘ᄒᆞ고
[col 08] ᄎᆞ的點에不少ᄒᆞ도다
[col 09] 운아직도擂籃의小에在ᄒᆞᆫ間에도
[col 10] 在ᄒᆞ야常히學問에先ᄒᆞ야存在ᄒᆞ엿더니라
[col 11] 盛의時期에達ᄒᆞ니라
[col 12] 他의事物에對ᄒᆞᆷ과如히實在ᄒᆞᆫ諸々의宗
[col 13] 又歷史的補助에由ᄒᆞ야其의起原又發展
[col 14] 容易히知키不能ᄒᆞ며是的思原
[col 15] 여러宗敎ᄂᆞᆫ各其歲時와方處가
[col 16] 其發興의成熟에對ᄒᆞ야ᄂᆞᆫ殆히相
[col 17] 即諸般의宗敎ᄂᆞᆫ諸般의民族에
[col 18] 多數의宗敎ᄂᆞᆫ其金
[col 19] 否라學問
[col 20] 大羔太古의人類ᄂᆞᆫ自然界의諸種의勢力及其法則에
[col 21] 現ᄒᆞᆫ知識이乏ᄒᆞ고로其乏ᄒᆞ니만치想像에由ᄒᆞ야自
[col 22] 己知識의欠陷을補코저ᄒᆞ엿스며又彼等은身邊에圍繞
[col 23] ᄒᆞᆫ事物에就ᄒᆞ야知ᄒᆞᄂᆞᆫ바理解가盡々히少ᄒᆞᆫ故로世界
