# claude_opus_4_7 — 기사 경계 밖을 걷어낸 판(trim_article_bounds.py)
# Source: unit_3_p2u.txt

[section] 敎理部
[col 02] 五帝가始生ᄒᆞ야民知를推測ᄒᆞ며時代를
[col 03] 衆酌ᄒᆞ야敎育程度를定ᄒᆞ시一年之運回
[col 04] 와四候之節別과星辰之轉機를文劵에寫
[col 05] 出ᄒᆞ니例ᄒᆞ면(共三百六旬有六日、以閏
[col 06] 月、定四時成歲、允釐百工、庶績咸熙)라
[col 07] ᄒᆞ고(欽哉惟是亮天功、庶績咸熙)라
[col 08] 日天道如此有常、神秘如此昭然、汝黎庶
[col 09] 鑑于此、不易之法則、一遵、順天者昌、
[col 10] 逆天者亡이라ᄒᆞ엿스니果然四千年以來
[col 11] 의文劵을叅考ᄒᆞ면順者ᄂᆞᆫ昌ᄒᆞ고逆者ᄂᆞᆫ
[col 12] 亡ᄒᆞ며常者ᄂᆞᆫ昌ᄒᆞ고無常者ᄂᆞᆫ亡ᄒᆞ얏도
[col 13] 다故로大神師끠셔天道의大源이如斯ᄒᆞ
[col 14] 履歷이有ᄒᆞ앗슴을論ᄒᆞ시고後天天道敎
[col 15] 의綱明ᄒᆞ신本旨를確明케ᄒᆞ심이니라
[col 16] 一動一靜ᄒᆞ난道之陰陽이니老氏所謂(又
[col 17] 動靜盛衰ᄂᆞᆫ道之陰陽이니老氏所謂[?]
[col 18] 一動一靜一盛一敗付之天命
